-1.000000,-0.000301,-0.039313,-0.001830,-0.026444
-1.000000,-0.000301,-0.039313,-0.001830,-0.026444
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-11.114473,-8.972940,-9.672451,-9.119051, 
0,-11.087696,-8.863774,-9.626291,-9.060559, 
0,-11.064783,-8.764981,-9.584073,-9.008725, 
0,-11.045037,-8.675321,-9.545002,-8.962398, 
0,-11.027443,-8.593461,-9.509341,-8.920995, 
0,-11.011375,-8.517599,-9.475338,-8.882537, 
0,-10.997071,-8.447636,-9.443004,-8.847219, 
0,-10.983773,-8.382389,-9.412702,-8.814612, 
0,-10.971303,-8.320897,-9.383010,-8.783648, 
0,-10.960416,-8.263866,-9.354677,-8.754889, 
0,-10.949897,-8.210083,-9.327824,-8.728012, 
0,-10.940281,-8.159097,-9.301726,-8.702466, 
0,-10.932004,-8.111733,-9.277150,-8.678755, 
0,-10.923313,-8.066292,-9.253255,-8.655982, 
0,-10.914837,-8.022623,-9.229396,-8.633862, 
0,-10.907869,-7.982217,-9.207282,-8.613631, 
0,-10.900527,-7.943231,-9.185490,-8.594134, 
0,-10.893175,-7.905430,-9.163782,-8.574722, 
0,-10.887391,-7.870730,-9.143516,-8.557624, 
0,-10.883816,-7.840197,-9.125733,-8.544505, 
0,-10.887019,-7.821182,-9.113694,-8.543135, 
0,-10.879466,-7.787325,-9.093077,-8.526723, 
0,-10.867681,-7.747266,-9.068945,-8.500805, 
0,-10.856395,-7.709187,-9.045188,-8.475188, 
0,-10.849388,-7.678321,-9.025890,-8.456709, 
0,-10.839355,-7.645359,-9.004372,-8.435132, 
0,-10.844648,-7.632544,-8.995395,-8.434894, 
0,-10.838534,-7.605109,-8.977993,-8.419582, 
0,-10.831083,-7.576957,-8.959413,-8.402669, 
0,-10.827082,-7.554128,-8.943526,-8.390627, 
0,-10.824988,-7.534768,-8.930551,-8.382353, 
0,-10.816029,-7.506245,-8.911483,-8.364208, 
0,-10.814028,-7.487425,-8.898103,-8.355325, 
0,-10.811712,-7.467184,-8.883044,-8.344067, 
0,-10.805667,-7.444839,-8.868269,-8.331737, 
0,-10.802029,-7.424986,-8.854171,-8.320761, 
0,-10.798740,-7.406548,-8.840950,-8.311205, 
0,-10.794629,-7.387158,-8.826815,-8.300247, 
0,-10.791115,-7.369028,-8.813903,-8.290473, 
0,-10.787112,-7.350433,-8.800543,-8.280216, 
0,-10.782985,-7.332047,-8.786877,-8.269739, 
0,-10.779614,-7.314976,-8.774666,-8.260613, 
0,-10.778153,-7.301029,-8.763988,-8.254823, 
0,-10.770213,-7.278257,-8.747432,-8.239183, 
0,-10.768158,-7.264229,-8.737058,-8.232621, 
0,-10.765303,-7.249026,-8.725476,-8.224823, 
0,-10.759485,-7.229311,-8.711224,-8.211541, 
0,-10.757151,-7.215348,-8.700724,-8.204344, 
0,-10.752430,-7.197987,-8.687920,-8.193434, 
0,-10.751582,-7.186424,-8.678455,-8.188096, 
0,-10.749358,-7.173196,-8.668146,-8.181270, 
0,-10.745424,-7.157926,-8.656279,-8.172230, 
0,-10.743335,-7.145112,-8.646488,-8.165522, 
0,-10.739328,-7.130020,-8.635176,-8.156390, 
0,-10.735293,-7.115395,-8.623542,-8.147528, 
0,-10.731420,-7.101058,-8.612809,-8.139479, 
0,-10.726976,-7.086341,-8.601348,-8.130776, 
0,-10.723790,-7.073360,-8.590827,-8.123377, 
0,-10.720079,-7.059800,-8.580341,-8.115638, 
