-1.000000,-0.010275,-0.020338,-0.000946,-0.006625
-1.000000,-0.010275,-0.020338,-0.000946,-0.006625
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.659262,-0.504325,-0.218406,-0.770980, 
0,-0.658680,-0.503209,-0.217445,-0.769776, 
0,-0.659200,-0.504102,-0.218034,-0.770526, 
0,-0.658016,-0.502341,-0.216894,-0.768881, 
0,-0.635645,-0.469775,-0.196496,-0.735777, 
0,-0.647883,-0.487315,-0.207577,-0.754122, 
0,-0.685893,-0.541420,-0.241789,-0.807322, 
0,-0.673242,-0.523778,-0.230378,-0.789908, 
0,-0.674502,-0.526095,-0.231326,-0.792423, 
0,-0.663455,-0.509150,-0.220924,-0.774431, 
1,-0.690918,-0.549949,-0.247276,-0.817355,"Baseline"
0,-0.676985,-0.525252,-0.234540,-0.793046, 
0,-0.664802,-0.509992,-0.223830,-0.777705, 
0,-0.654959,-0.497932,-0.214446,-0.765886, 
0,-0.655421,-0.498927,-0.211420,-0.766999, 
0,-0.683808,-0.525486,-0.229331,-0.795197, 
0,-0.650740,-0.466691,-0.192838,-0.747976, 
0,-0.646373,-0.442392,-0.176804,-0.756952, 
0,-0.686073,-0.472936,-0.197393,-0.794111, 
0,-0.722750,-0.493709,-0.211247,-0.815866, 
0,-0.745236,-0.510120,-0.222022,-0.849279, 
0,-0.761354,-0.509374,-0.220513,-0.862804, 
0,-0.779577,-0.514227,-0.223667,-0.874280, 
0,-0.791127,-0.516687,-0.225564,-0.883808, 
0,-0.799697,-0.517808,-0.226208,-0.892511, 
0,-0.815694,-0.530013,-0.234014,-0.910036, 
0,-0.829978,-0.541426,-0.241534,-0.926808, 
0,-0.843513,-0.551952,-0.249190,-0.943156, 
0,-0.850796,-0.553801,-0.251376,-0.948983, 
0,-0.870719,-0.572410,-0.265247,-0.974141, 
0,-0.740091,-0.394492,-0.145624,-0.796841, 
0,-0.801130,-0.473661,-0.197069,-0.880163, 
0,-0.806184,-0.476739,-0.198796,-0.885745, 
0,-0.830097,-0.505904,-0.218302,-0.919161, 
0,-0.841098,-0.516846,-0.226009,-0.933183, 
0,-0.843512,-0.517375,-0.226613,-0.936619, 
0,-0.845331,-0.517000,-0.226478,-0.939115, 
0,-0.846880,-0.516562,-0.226298,-0.941262, 
0,-0.848327,-0.516242,-0.226028,-0.943338, 
0,-0.849307,-0.515614,-0.225676,-0.945294, 
0,-0.850567,-0.515232,-0.225514,-0.947038, 
0,-0.851745,-0.514884,-0.225569,-0.948911, 
0,-0.853076,-0.514984,-0.225609,-0.951089, 
0,-0.854101,-0.514871,-0.225645,-0.952907, 
0,-0.854934,-0.514562,-0.225456,-0.954464, 
0,-0.855832,-0.514344,-0.225398,-0.956203, 
0,-0.856812,-0.514324,-0.225357,-0.957889, 
0,-0.857656,-0.514234,-0.225505,-0.959560, 
0,-0.858509,-0.514070,-0.225442,-0.961094, 
0,-0.859430,-0.514016,-0.225437,-0.962678, 
0,-0.860038,-0.513857,-0.225471,-0.964256, 
0,-0.860399,-0.513584,-0.225413,-0.965352, 
0,-0.861009,-0.513566,-0.225323,-0.966532, 
0,-0.861805,-0.513585,-0.225256,-0.967739, 
0,-0.862115,-0.513134,-0.225073,-0.968834, 
0,-0.862576,-0.512906,-0.225028,-0.970049, 
0,-0.863208,-0.512762,-0.224822,-0.971139, 
0,-0.863770,-0.512788,-0.225092,-0.972381, 
0,-0.864169,-0.512632,-0.225094,-0.973575, 
0,-0.864725,-0.512386,-0.224915,-0.974519, 
0,-0.865125,-0.512307,-0.224977,-0.975561, 
0,-0.865440,-0.512084,-0.224928,-0.976684, 
0,-0.865731,-0.512123,-0.224882,-0.977625, 
0,-0.866130,-0.511892,-0.225033,-0.978589, 
0,-0.866351,-0.511909,-0.224993,-0.979587, 
0,-0.866613,-0.511576,-0.224890,-0.980311, 
0,-0.866895,-0.511429,-0.224805,-0.981116, 
0,-0.867180,-0.511328,-0.224924,-0.982132, 
0,-0.867819,-0.511374,-0.224933,-0.983062, 
0,-0.867734,-0.511046,-0.224800,-0.983772, 
0,-0.868216,-0.511038,-0.224850,-0.984532, 
0,-0.868839,-0.511330,-0.225197,-0.985799, 
0,-0.870283,-0.512755,-0.226294,-0.988006, 
0,-0.874803,-0.518138,-0.229938,-0.994309, 
0,-0.882035,-0.527619,-0.236352,-1.004852, 
0,-0.892220,-0.540759,-0.245468,-1.018497, 
0,-0.870700,-0.511816,-0.225918,-0.989951, 
0,-0.888721,-0.535947,-0.241938,-1.015362, 
0,-0.868517,-0.510485,-0.223841,-0.990128, 
0,-0.847660,-0.478117,-0.204557,-0.958288, 
0,-0.858055,-0.490863,-0.213576,-0.972561, 
0,-0.850573,-0.480331,-0.206667,-0.963276, 
0,-0.919420,-0.577628,-0.268139,-1.061748, 
0,-0.856314,-0.490478,-0.211928,-0.972311, 
0,-0.857729,-0.492600,-0.213077,-0.976552, 
0,-0.856162,-0.488692,-0.211261,-0.974249, 
0,-0.867328,-0.502106,-0.220812,-0.988167, 
0,-0.872418,-0.509935,-0.225401,-0.996596, 
0,-0.873761,-0.511112,-0.226206,-0.998568, 
0,-0.873265,-0.510220,-0.225917,-0.998221, 
0,-0.871990,-0.508024,-0.224484,-0.996578, 
0,-0.873245,-0.509383,-0.225348,-0.998464, 
0,-0.872155,-0.507414,-0.224201,-0.996969, 
0,-0.872505,-0.507744,-0.224486,-0.998181, 
0,-0.871816,-0.506516,-0.223768,-0.997413, 
0,-0.873926,-0.508998,-0.225366,-1.000402, 
0,-0.872832,-0.507405,-0.224184,-0.999250, 
0,-0.872909,-0.506644,-0.224015,-0.999246, 
0,-0.873142,-0.507056,-0.224277,-1.000078, 
0,-0.873358,-0.507099,-0.224387,-1.000563, 
0,-0.873515,-0.506717,-0.224233,-1.000871, 
0,-0.873980,-0.506995,-0.224470,-1.001744, 
0,-0.873612,-0.506458,-0.224172,-1.001865, 
0,-0.873808,-0.506217,-0.223896,-1.001904, 
0,-0.874158,-0.506335,-0.224304,-1.002713, 
0,-0.876996,-0.509892,-0.226608,-1.006615, 
0,-0.874761,-0.506484,-0.224572,-1.003725, 
0,-0.874461,-0.505811,-0.224106,-1.003574, 
0,-0.874169,-0.505020,-0.223796,-1.003341, 
