-1.000000,-0.007069,-0.008659,-0.006037,-0.018918
-1.000000,-0.007069,-0.008659,-0.006037,-0.018918
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.182688,-0.481315,-0.181581,-0.269702, 
0,-0.182555,-0.481242,-0.181708,-0.269976, 
0,-0.183035,-0.481846,-0.181350,-0.269503, 
0,-0.183561,-0.482165,-0.181491,-0.269662, 
0,-0.183111,-0.481659,-0.181368,-0.269604, 
0,-0.183056,-0.482299,-0.182182,-0.270976, 
0,-0.183774,-0.482670,-0.182736,-0.271879, 
0,-0.183189,-0.481086,-0.181466,-0.269916, 
0,-0.183859,-0.482476,-0.182511,-0.271771, 
0,-0.181208,-0.479054,-0.180395,-0.268564, 
1,-0.220475,-0.534451,-0.216275,-0.330300,"Baseline"
0,-0.168011,-0.453480,-0.167191,-0.246581, 
0,-0.128767,-0.396645,-0.132408,-0.185694, 
0,-0.173679,-0.467750,-0.173049,-0.255357, 
0,-0.176019,-0.478856,-0.174796,-0.264112, 
0,-0.222671,-0.554755,-0.217383,-0.337353, 
0,-0.173683,-0.473768,-0.173618,-0.256654, 
0,-0.162155,-0.451294,-0.163056,-0.234740, 
0,-0.192769,-0.491899,-0.189690,-0.277200, 
0,-0.199969,-0.499613,-0.195374,-0.286262, 
0,-0.195011,-0.491607,-0.189473,-0.277235, 
0,-0.198350,-0.495925,-0.191045,-0.279508, 
0,-0.202235,-0.500302,-0.192457,-0.281824, 
0,-0.206521,-0.503972,-0.194238,-0.284947, 
0,-0.207831,-0.504526,-0.193851,-0.284128, 
0,-0.210457,-0.506660,-0.194704,-0.285943, 
0,-0.210756,-0.505728,-0.194393,-0.285814, 
0,-0.212661,-0.507507,-0.194897,-0.286921, 
0,-0.214992,-0.509377,-0.195500,-0.288321, 
0,-0.215622,-0.509737,-0.195556,-0.288659, 
0,-0.216901,-0.511076,-0.196630,-0.290506, 
0,-0.218868,-0.512298,-0.196899,-0.291598, 
0,-0.202515,-0.489757,-0.182281,-0.268293, 
0,-0.217482,-0.510199,-0.195477,-0.288607, 
0,-0.219433,-0.512315,-0.196619,-0.290837, 
0,-0.216325,-0.507837,-0.193269,-0.285650, 
0,-0.223733,-0.518096,-0.199930,-0.296180, 
0,-0.221243,-0.514312,-0.197517,-0.292433, 
0,-0.223243,-0.516597,-0.198777,-0.294674, 
0,-0.222648,-0.515783,-0.198342,-0.293978, 
0,-0.224470,-0.517917,-0.199535,-0.295947, 
0,-0.224334,-0.517031,-0.199223,-0.295453, 
0,-0.224233,-0.517380,-0.199499,-0.295765, 
0,-0.224670,-0.518329,-0.199623,-0.295999, 
0,-0.224845,-0.518101,-0.199950,-0.296442, 
0,-0.224896,-0.517936,-0.199784,-0.296164, 
0,-0.224789,-0.518411,-0.200149,-0.296662, 
0,-0.224581,-0.518759,-0.200112,-0.296648, 
0,-0.225396,-0.519043,-0.200429,-0.297073, 
0,-0.225995,-0.519925,-0.200661,-0.297361, 
0,-0.225951,-0.520329,-0.201082,-0.297793, 
0,-0.225752,-0.519447,-0.201231,-0.297975, 
0,-0.225796,-0.519920,-0.201468,-0.298286, 
0,-0.226400,-0.520721,-0.201621,-0.298450, 
0,-0.227368,-0.521034,-0.201794,-0.298572, 
0,-0.227760,-0.521416,-0.202142,-0.298999, 
0,-0.227729,-0.521630,-0.201987,-0.298764, 
0,-0.228380,-0.522207,-0.202337,-0.299283, 
0,-0.228707,-0.522158,-0.202362,-0.299237, 
0,-0.228282,-0.521923,-0.202592,-0.299446, 
0,-0.227990,-0.522049,-0.202864,-0.299687, 
0,-0.228334,-0.522500,-0.202918,-0.299664, 
0,-0.229404,-0.523054,-0.203203,-0.300039, 
0,-0.229475,-0.522878,-0.203242,-0.299969, 
0,-0.230092,-0.523810,-0.203646,-0.300421, 
0,-0.230236,-0.523649,-0.203585,-0.300262, 
0,-0.230902,-0.524264,-0.203763,-0.300398, 
0,-0.230994,-0.524521,-0.204134,-0.300896, 
0,-0.231166,-0.524618,-0.203992,-0.300625, 
0,-0.230608,-0.524424,-0.204231,-0.300730, 
0,-0.231032,-0.524377,-0.204206,-0.300619, 
0,-0.231446,-0.524959,-0.204564,-0.301045, 
0,-0.231336,-0.525031,-0.204935,-0.301457, 
0,-0.231710,-0.525223,-0.204921,-0.301407, 
0,-0.231951,-0.524956,-0.204652,-0.300837, 
0,-0.232663,-0.525505,-0.204942,-0.301284, 
0,-0.233036,-0.526523,-0.205383,-0.301768, 
0,-0.232483,-0.526041,-0.205393,-0.301714, 
0,-0.231608,-0.525238,-0.205358,-0.301563, 
0,-0.232295,-0.525548,-0.205592,-0.301779, 
0,-0.232893,-0.525921,-0.205726,-0.301962, 
0,-0.234145,-0.526190,-0.206011,-0.302107, 
0,-0.234584,-0.526476,-0.206406,-0.302447, 
0,-0.234947,-0.526989,-0.206544,-0.302557, 
0,-0.234653,-0.526714,-0.206491,-0.302420, 
0,-0.234407,-0.526017,-0.206522,-0.302313, 
0,-0.233933,-0.526122,-0.206942,-0.302738, 
0,-0.235385,-0.527544,-0.207732,-0.303877, 
0,-0.241741,-0.536696,-0.213822,-0.313729, 
0,-0.257286,-0.557986,-0.227445,-0.337434, 
0,-0.261747,-0.562830,-0.231085,-0.348094, 
0,-0.310860,-0.629729,-0.274352,-0.446435, 
0,-0.226927,-0.502539,-0.193697,-0.308976, 
0,-0.128346,-0.386757,-0.111883,-0.168027, 
0,-0.237852,-0.529998,-0.208615,-0.312683, 
0,-0.187942,-0.466984,-0.164805,-0.246991, 
0,-0.239763,-0.534059,-0.210991,-0.313127, 
0,-0.231016,-0.522135,-0.203452,-0.300558, 
0,-0.239017,-0.532188,-0.210517,-0.310101, 
0,-0.237646,-0.530669,-0.210007,-0.308454, 
0,-0.237554,-0.530920,-0.210497,-0.308520, 
0,-0.238092,-0.530940,-0.210545,-0.307971, 
0,-0.238296,-0.531009,-0.210534,-0.307544, 
0,-0.238349,-0.530772,-0.210702,-0.307405, 
0,-0.238199,-0.530891,-0.210791,-0.307163, 
0,-0.238924,-0.531132,-0.210851,-0.307103, 
0,-0.238169,-0.530789,-0.210961,-0.307340, 
0,-0.238827,-0.531144,-0.210878,-0.307438, 
0,-0.238913,-0.530953,-0.210969,-0.307615, 
0,-0.238629,-0.531070,-0.210992,-0.307536, 
0,-0.239541,-0.531716,-0.210989,-0.307537, 
0,-0.239477,-0.531594,-0.211267,-0.307826, 
0,-0.239092,-0.531376,-0.211507,-0.308015, 
0,-0.239288,-0.531581,-0.211571,-0.307924, 
0,-0.239830,-0.531959,-0.211543,-0.307801, 
0,-0.240048,-0.531881,-0.211734,-0.307986, 
0,-0.240250,-0.531803,-0.212059,-0.308223, 
0,-0.240038,-0.531725,-0.211912,-0.307881, 
0,-0.240587,-0.532034,-0.212107,-0.307889, 
0,-0.240194,-0.531770,-0.212304,-0.308020, 
0,-0.240367,-0.531815,-0.212610,-0.308310, 
0,-0.240358,-0.531758,-0.212617,-0.308220, 
0,-0.240633,-0.531722,-0.212666,-0.308097, 
0,-0.240667,-0.531889,-0.212683,-0.307966, 
0,-0.240534,-0.531666,-0.212866,-0.308075, 
0,-0.240020,-0.530910,-0.212991,-0.308081, 
0,-0.241344,-0.531842,-0.213326,-0.308331, 
0,-0.242275,-0.532708,-0.213642,-0.308556, 
0,-0.242090,-0.532407,-0.213662,-0.308619, 
0,-0.242557,-0.532811,-0.213837,-0.308689, 
0,-0.243721,-0.533654,-0.214277,-0.309159, 
0,-0.244161,-0.533923,-0.215101,-0.310223, 
0,-0.244542,-0.534557,-0.215560,-0.310753, 
0,-0.248040,-0.538247,-0.218244,-0.314605, 
0,-0.254980,-0.546851,-0.224542,-0.323967, 
0,-0.257907,-0.551248,-0.227440,-0.328246, 
0,-0.275558,-0.574165,-0.243197,-0.352925, 
0,-0.242648,-0.530367,-0.213635,-0.309621, 
0,-0.233840,-0.520842,-0.206840,-0.299734, 
0,-0.275172,-0.574200,-0.242866,-0.358943, 
0,-0.054525,-0.281384,-0.045148,-0.054550, 
0,1.029468,0.779261,0.868866,1.082781, 
0,-0.007861,-0.310247,-0.016883,-0.069188, 
0,-0.231718,-0.535180,-0.205820,-0.306502, 
0,-0.215710,-0.508423,-0.191874,-0.280652, 
0,-0.161877,-0.443024,-0.145577,-0.211104, 
0,-0.206604,-0.494927,-0.184204,-0.269623, 
0,-0.220578,-0.509891,-0.195310,-0.284522, 
0,-0.230748,-0.519338,-0.203876,-0.295420, 
0,-0.262230,-0.557534,-0.231007,-0.336509, 
0,-0.253395,-0.543143,-0.222833,-0.321542, 
0,-0.245155,-0.533636,-0.215820,-0.311474, 
0,-0.259144,-0.548471,-0.227290,-0.327179, 
0,-0.241208,-0.525920,-0.211666,-0.303337, 
0,-0.253898,-0.542477,-0.223627,-0.321594, 
0,-0.183196,-0.448889,-0.161152,-0.221604, 
0,-0.250269,-0.542491,-0.221776,-0.320677, 
