-1.000000,-0.003777,-0.014523,-0.005779,-0.008042
-1.000000,-0.003777,-0.014523,-0.005779,-0.008042
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.166102,-0.203186,-0.246664,-0.133399, 
0,-0.166818,-0.203883,-0.247111,-0.134001, 
0,-0.164169,-0.200163,-0.244417,-0.129962, 
0,-0.166485,-0.203121,-0.246580,-0.133082, 
0,-0.167613,-0.204689,-0.247800,-0.134592, 
0,-0.165381,-0.202067,-0.246573,-0.132088, 
0,-0.165275,-0.202303,-0.246548,-0.131908, 
0,-0.164255,-0.201400,-0.246181,-0.130838, 
0,-0.166336,-0.204409,-0.248486,-0.133844, 
0,-0.164668,-0.202959,-0.247480,-0.132011, 
1,-0.212292,-0.267507,-0.287797,-0.200107,"Baseline"
0,-0.158392,-0.186632,-0.238561,-0.117927, 
0,-0.121405,-0.138202,-0.205711,-0.067826, 
0,-0.163044,-0.198397,-0.243136,-0.129228, 
0,-0.159297,-0.195280,-0.238281,-0.123299, 
0,-0.178584,-0.226059,-0.257384,-0.157502, 
0,-0.170510,-0.213439,-0.252899,-0.146343, 
0,-0.177904,-0.223935,-0.258367,-0.157350, 
0,-0.187469,-0.235560,-0.270546,-0.169579, 
0,-0.170673,-0.209940,-0.260946,-0.147740, 
0,-0.184204,-0.230160,-0.280325,-0.172879, 
0,-0.168546,-0.211587,-0.273018,-0.156073, 
0,-0.151786,-0.190876,-0.264387,-0.135536, 
0,-0.159742,-0.203364,-0.277391,-0.149789, 
0,-0.160030,-0.206438,-0.283408,-0.153237, 
0,-0.158314,-0.208477,-0.287254,-0.154824, 
0,-0.183767,-0.242202,-0.313510,-0.190730, 
0,-0.151996,-0.201031,-0.289098,-0.148529, 
0,-0.181366,-0.241030,-0.317161,-0.190527, 
0,-0.180645,-0.240094,-0.319074,-0.189920, 
0,-0.183837,-0.244353,-0.323652,-0.194632, 
0,-0.181468,-0.240834,-0.322199,-0.190711, 
0,-0.170343,-0.225558,-0.313863,-0.174952, 
0,-0.180398,-0.239589,-0.323985,-0.189723, 
0,-0.189573,-0.251838,-0.332980,-0.202530, 
0,-0.191393,-0.254058,-0.335548,-0.204903, 
0,-0.166474,-0.220700,-0.314091,-0.170376, 
0,-0.168623,-0.223439,-0.316918,-0.173133, 
0,-0.179382,-0.237426,-0.326443,-0.187911, 
0,-0.183947,-0.244010,-0.330731,-0.194490, 
0,-0.182181,-0.241560,-0.329423,-0.192477, 
0,-0.187880,-0.249431,-0.335026,-0.200407, 
0,-0.200414,-0.266018,-0.346555,-0.218421, 
0,-0.197338,-0.261103,-0.343707,-0.213987, 
0,-0.179441,-0.235964,-0.326953,-0.186823, 
0,-0.175876,-0.232465,-0.323601,-0.183559, 
0,-0.179036,-0.236003,-0.326539,-0.187669, 
0,-0.197302,-0.261002,-0.343191,-0.213624, 
0,-0.203492,-0.268364,-0.347946,-0.220576, 
0,-0.173680,-0.226712,-0.321864,-0.178883, 
0,-0.209945,-0.276129,-0.353991,-0.229297, 
0,-0.266221,-0.347928,-0.403585,-0.305521, 
0,-0.138241,-0.179904,-0.289830,-0.132097, 
0,-0.181291,-0.238044,-0.328489,-0.190281, 
0,-0.181011,-0.238507,-0.328439,-0.190487, 
0,-0.172996,-0.228080,-0.321473,-0.179407, 
0,-0.243068,-0.316785,-0.383710,-0.273579, 
0,-0.162600,-0.214626,-0.311570,-0.166850, 
0,-0.182251,-0.239758,-0.328781,-0.192205, 
0,-0.169558,-0.224009,-0.317305,-0.175254, 
0,-0.176340,-0.232708,-0.323664,-0.184304, 
0,-0.174466,-0.229109,-0.321906,-0.180833, 
0,-0.208567,-0.274243,-0.352211,-0.227726, 
0,-0.168573,-0.222784,-0.316632,-0.175419, 
0,-0.156434,-0.204802,-0.305915,-0.154856, 
0,-0.155474,-0.205870,-0.305152,-0.156290, 
0,-0.164125,-0.214076,-0.312191,-0.165201, 
0,-0.188603,-0.247356,-0.334599,-0.200239, 
0,-0.192256,-0.252182,-0.337842,-0.205801, 
0,-0.190654,-0.249706,-0.336256,-0.202911, 
0,-0.189550,-0.248043,-0.335177,-0.200951, 
0,-0.184464,-0.241223,-0.330833,-0.194157, 
0,-0.192470,-0.252053,-0.338145,-0.205679, 
0,-0.203136,-0.266690,-0.347891,-0.220938, 
0,-0.196893,-0.258060,-0.341706,-0.212112, 
0,-0.193068,-0.254596,-0.339015,-0.208127, 
0,-0.203949,-0.270175,-0.348453,-0.223861, 
0,-0.191808,-0.251725,-0.336728,-0.205015, 
0,-0.161320,-0.201457,-0.309078,-0.155254, 
0,-0.184445,-0.241978,-0.330430,-0.195290, 
0,-0.154221,-0.201771,-0.303492,-0.152651, 
0,-0.184251,-0.241873,-0.330924,-0.194638, 
0,-0.180493,-0.235188,-0.327335,-0.187717, 
0,-0.179538,-0.234793,-0.326884,-0.186499, 
0,-0.192494,-0.252602,-0.337973,-0.204599, 
0,-0.188823,-0.248142,-0.335244,-0.200093, 
0,-0.189756,-0.249388,-0.336489,-0.201806, 
0,-0.189202,-0.249021,-0.336124,-0.200914, 
0,-0.188646,-0.248613,-0.336116,-0.200364, 
0,-0.188940,-0.249064,-0.336544,-0.200960, 
0,-0.188696,-0.248870,-0.336616,-0.200998, 
0,-0.188765,-0.248870,-0.336874,-0.201112, 
0,-0.188945,-0.248899,-0.335489,-0.201016, 
0,-0.188478,-0.248012,-0.335354,-0.200425, 
0,-0.188606,-0.247974,-0.335075,-0.200550, 
0,-0.188746,-0.248260,-0.335539,-0.200686, 
0,-0.188124,-0.247573,-0.335425,-0.200539, 
0,-0.188530,-0.248172,-0.335517,-0.200938, 
0,-0.188138,-0.248229,-0.336025,-0.200930, 
0,-0.188806,-0.248730,-0.336967,-0.201695, 
0,-0.189134,-0.249046,-0.336306,-0.201717, 
0,-0.189880,-0.250097,-0.336675,-0.202340, 
0,-0.190060,-0.250239,-0.336802,-0.202383, 
0,-0.189962,-0.249865,-0.336392,-0.202224, 
0,-0.189863,-0.249694,-0.336121,-0.201796, 
0,-0.190557,-0.250151,-0.336424,-0.201957, 
0,-0.191141,-0.250591,-0.336422,-0.202520, 
0,-0.191592,-0.250831,-0.336789,-0.202521, 
0,-0.191810,-0.251277,-0.336635,-0.202987, 
0,-0.192204,-0.251899,-0.337707,-0.203309, 
0,-0.191792,-0.251637,-0.337157,-0.203044, 
0,-0.191818,-0.251759,-0.336727,-0.203210, 
0,-0.191792,-0.252152,-0.337269,-0.203366, 
0,-0.191934,-0.252722,-0.337976,-0.203544, 
0,-0.191891,-0.252638,-0.338224,-0.203607, 
0,-0.191448,-0.252262,-0.338568,-0.203624, 
0,-0.192479,-0.253603,-0.339290,-0.204945, 
0,-0.192551,-0.254119,-0.339830,-0.205084, 
0,-0.191889,-0.253614,-0.339913,-0.204940, 
0,-0.192325,-0.254196,-0.339910,-0.205313, 
0,-0.192254,-0.254439,-0.340051,-0.205415, 
0,-0.191691,-0.253986,-0.340303,-0.205125, 
0,-0.191189,-0.253655,-0.339567,-0.204939, 
0,-0.192809,-0.255453,-0.341063,-0.206593, 
0,-0.192586,-0.255209,-0.340725,-0.206340, 
0,-0.192215,-0.254488,-0.340696,-0.205890, 
0,-0.192678,-0.254528,-0.340685,-0.206182, 
0,-0.192964,-0.255003,-0.340515,-0.206397, 
0,-0.192804,-0.254685,-0.339118,-0.206145, 
0,-0.193112,-0.254983,-0.339953,-0.206427, 
0,-0.193294,-0.255102,-0.339944,-0.206701, 
0,-0.193371,-0.255319,-0.339853,-0.206763, 
0,-0.193538,-0.255774,-0.340856,-0.207430, 
0,-0.196531,-0.259758,-0.343584,-0.211603, 
0,-0.195181,-0.257735,-0.342190,-0.209554, 
0,-0.193738,-0.255503,-0.340732,-0.207578, 
0,-0.194295,-0.256219,-0.340974,-0.208174, 
0,-0.194218,-0.256193,-0.341423,-0.208354, 
0,-0.194568,-0.256583,-0.341947,-0.208328, 
0,-0.195420,-0.257845,-0.342958,-0.209499, 
0,-0.195275,-0.257757,-0.342387,-0.209250, 
0,-0.194930,-0.257516,-0.342312,-0.208956, 
0,-0.195231,-0.258121,-0.342844,-0.209841, 
0,-0.195056,-0.257935,-0.342869,-0.209774, 
0,-0.194856,-0.257968,-0.342722,-0.209772, 
0,-0.194702,-0.257918,-0.342669,-0.209836, 
0,-0.194535,-0.257897,-0.343214,-0.210197, 
0,-0.194589,-0.258158,-0.343413,-0.210088, 
0,-0.194593,-0.258169,-0.343466,-0.210492, 
0,-0.195293,-0.258538,-0.343252,-0.210454, 
0,-0.195095,-0.258187,-0.343944,-0.210727, 
0,-0.195331,-0.258541,-0.344315,-0.210890, 
0,-0.195880,-0.259155,-0.344240,-0.211568, 
0,-0.195546,-0.258881,-0.343868,-0.211263, 
0,-0.195136,-0.258568,-0.344095,-0.210850, 
0,-0.195509,-0.258485,-0.344178,-0.211262, 
0,-0.196233,-0.259254,-0.345121,-0.212353, 
0,-0.196263,-0.259508,-0.344849,-0.212359, 
0,-0.196248,-0.259644,-0.344983,-0.212239, 
0,-0.196309,-0.259827,-0.345185,-0.212023, 
0,-0.196738,-0.260231,-0.345476,-0.212385, 
0,-0.196560,-0.259579,-0.345510,-0.212373, 
0,-0.196956,-0.260124,-0.345799,-0.212989, 
0,-0.196976,-0.259949,-0.345577,-0.212572, 
0,-0.196899,-0.259979,-0.346022,-0.212663, 
0,-0.197680,-0.260737,-0.346511,-0.213415, 
0,-0.197609,-0.260767,-0.346884,-0.213559, 
0,-0.197526,-0.260937,-0.346631,-0.213417, 
0,-0.196785,-0.260254,-0.346783,-0.212902, 
0,-0.195616,-0.259308,-0.344888,-0.212052, 
0,-0.196793,-0.260971,-0.346999,-0.213415, 
0,-0.197450,-0.262362,-0.348100,-0.214454, 
0,-0.199460,-0.265317,-0.349581,-0.216954, 
0,-0.197774,-0.263103,-0.348592,-0.215202, 
0,-0.197313,-0.262758,-0.348133,-0.215093, 
0,-0.197037,-0.262551,-0.347656,-0.214756, 
0,-0.197126,-0.262506,-0.347749,-0.214875, 
0,-0.196947,-0.262334,-0.347667,-0.214382, 
0,-0.197939,-0.263404,-0.348352,-0.215366, 
0,-0.197846,-0.263254,-0.348491,-0.215019, 
0,-0.197659,-0.263066,-0.348102,-0.215147, 
0,-0.198125,-0.263611,-0.348419,-0.215617, 
0,-0.196888,-0.262072,-0.347452,-0.214105, 
0,-0.195929,-0.260764,-0.346922,-0.212903, 
0,-0.200143,-0.266819,-0.351139,-0.219373, 
0,-0.213454,-0.285250,-0.363069,-0.238390, 
0,-0.196105,-0.260875,-0.347323,-0.213560, 
0,-0.194035,-0.258365,-0.345916,-0.211157, 
