-1.000000,-0.000987,-0.014040,-0.003466,-0.003531
-1.000000,-0.000987,-0.014040,-0.003466,-0.003531
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.327520,-0.626949,-0.330858,-0.342239, 
0,-0.323186,-0.618183,-0.326595,-0.334569, 
0,-0.333245,-0.633620,-0.335965,-0.349726, 
0,-0.329285,-0.627279,-0.332305,-0.343246, 
0,-0.332427,-0.632895,-0.335481,-0.349057, 
0,-0.333042,-0.633223,-0.335802,-0.349256, 
0,-0.329930,-0.629039,-0.332872,-0.344955, 
0,-0.328795,-0.627832,-0.332045,-0.343586, 
0,-0.328796,-0.627686,-0.331913,-0.343451, 
0,-0.330390,-0.629322,-0.332868,-0.344490, 
1,-0.330773,-0.631084,-0.333048,-0.345917,"Baseline"
0,-0.328374,-0.627597,-0.331396,-0.342792, 
0,-0.351031,-0.661796,-0.352319,-0.377244, 
0,-0.335343,-0.640543,-0.339164,-0.355799, 
0,-0.322891,-0.617149,-0.325102,-0.331403, 
0,-0.327938,-0.624318,-0.329102,-0.337306, 
0,-0.319263,-0.624434,-0.316232,-0.317902, 
0,-0.316469,-0.631573,-0.315749,-0.318012, 
0,-0.336063,-0.664858,-0.333324,-0.346819, 
0,-0.332468,-0.665927,-0.329283,-0.338953, 
0,-0.343654,-0.689575,-0.335456,-0.348484, 
0,-0.343661,-0.705462,-0.335239,-0.347632, 
0,-0.343918,-0.703412,-0.334686,-0.347004, 
0,-0.347010,-0.709343,-0.335877,-0.348181, 
0,-0.347554,-0.714974,-0.334975,-0.346721, 
0,-0.348206,-0.720837,-0.334821,-0.346450, 
0,-0.349281,-0.725442,-0.334888,-0.346644, 
0,-0.350953,-0.729292,-0.335515,-0.347265, 
0,-0.351738,-0.732906,-0.335559,-0.347344, 
0,-0.351961,-0.734207,-0.335420,-0.347233, 
0,-0.353174,-0.736490,-0.335778,-0.347624, 
0,-0.354625,-0.739073,-0.336293,-0.348317, 
0,-0.353776,-0.738681,-0.334829,-0.346230, 
0,-0.356481,-0.743467,-0.336848,-0.348941, 
0,-0.356707,-0.745127,-0.336787,-0.348909, 
0,-0.359007,-0.750047,-0.338768,-0.352637, 
0,-0.353042,-0.742283,-0.333419,-0.343703, 
0,-0.353868,-0.744034,-0.333436,-0.343786, 
0,-0.360834,-0.755112,-0.339575,-0.353624, 
0,-0.356463,-0.749514,-0.335616,-0.346923, 
0,-0.356143,-0.751265,-0.335154,-0.346269, 
0,-0.356955,-0.753058,-0.335601,-0.346957, 
0,-0.357235,-0.753893,-0.335539,-0.347059, 
0,-0.358023,-0.754823,-0.335519,-0.346649, 
