-1.000000,-0.005792,-0.015098,-0.004320,-0.017847
-1.000000,-0.005792,-0.015098,-0.004320,-0.017847
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-1.954827,-4.475541,-4.673960,-1.353015, 
0,-1.954988,-4.475692,-4.674119,-1.354288, 
0,-1.953344,-4.475169,-4.673770,-1.355108, 
0,-1.952996,-4.474759,-4.673641,-1.355562, 
0,-1.953411,-4.474731,-4.673208,-1.354940, 
0,-1.953636,-4.474727,-4.672992,-1.355698, 
0,-1.953821,-4.474639,-4.672803,-1.356214, 
0,-1.952844,-4.473401,-4.672315,-1.356578, 
0,-1.952946,-4.473160,-4.672078,-1.356820, 
0,-1.952969,-4.473009,-4.671652,-1.357133, 
1,-1.954562,-4.476104,-4.674537,-1.352187,"Baseline"
0,-1.955551,-4.478138,-4.675511,-1.353037, 
0,-1.952956,-4.475606,-4.673583,-1.349010, 
0,-1.950179,-4.473947,-4.671709,-1.346671, 
0,-1.950271,-4.473815,-4.673166,-1.346978, 
0,-1.952719,-4.478424,-4.675244,-1.349408, 
0,-1.951310,-4.477318,-4.674719,-1.347314, 
0,-1.950210,-4.476120,-4.673821,-1.344848, 
0,-1.951540,-4.477234,-4.674609,-1.344890, 
0,-1.950673,-4.476203,-4.673928,-1.343165, 
0,-1.950289,-4.476108,-4.674034,-1.341369, 
0,-1.949578,-4.475938,-4.673792,-1.340759, 
0,-1.950173,-4.476779,-4.673996,-1.340249, 
0,-1.950304,-4.476655,-4.673852,-1.338938, 
0,-1.949147,-4.476144,-4.673355,-1.337624, 
0,-1.948764,-4.476173,-4.673301,-1.336368, 
0,-1.948853,-4.476262,-4.672521,-1.334830, 
0,-1.948415,-4.476097,-4.672448,-1.333480, 
0,-1.947663,-4.475642,-4.672107,-1.332657, 
0,-1.947722,-4.476338,-4.672289,-1.331777, 
0,-1.946802,-4.475411,-4.670931,-1.329046, 
0,-1.946891,-4.475816,-4.670896,-1.328065, 
0,-1.947087,-4.476382,-4.670953,-1.327727, 
0,-1.946532,-4.475833,-4.670342,-1.326160, 
0,-1.946386,-4.476021,-4.670525,-1.324928, 
0,-1.948599,-4.479616,-4.672416,-1.328121, 
0,-1.945773,-4.475365,-4.669585,-1.322380, 
0,-1.947065,-4.477439,-4.670325,-1.322983, 
0,-1.944466,-4.473528,-4.667688,-1.318359, 
0,-1.946622,-4.476599,-4.669486,-1.319786, 
0,-1.945048,-4.473945,-4.667451,-1.315320, 
0,-1.945143,-4.474517,-4.667901,-1.315538, 
0,-1.946037,-4.475900,-4.668169,-1.314559, 
0,-1.946460,-4.476441,-4.668436,-1.313466, 
0,-1.947135,-4.477299,-4.669162,-1.312972, 
0,-1.946528,-4.476936,-4.668684,-1.311386, 
0,-1.946265,-4.476843,-4.668236,-1.309832, 
0,-1.946255,-4.477067,-4.668001,-1.309224, 
0,-1.946026,-4.477407,-4.667981,-1.308277, 
0,-1.945398,-4.477356,-4.667788,-1.307459, 
0,-1.944568,-4.477225,-4.667135,-1.305869, 
0,-1.944047,-4.477097,-4.666658,-1.305133, 
0,-1.943056,-4.476583,-4.666290,-1.303357, 
0,-1.942391,-4.476508,-4.665751,-1.302388, 
0,-1.941889,-4.476395,-4.665164,-1.301161, 
0,-1.941595,-4.476286,-4.664708,-1.300122, 
0,-1.941148,-4.476027,-4.664756,-1.299378, 
0,-1.941275,-4.476149,-4.664404,-1.298573, 
0,-1.941235,-4.476236,-4.664196,-1.297900, 
0,-1.941652,-4.476540,-4.663742,-1.296899, 
0,-1.941140,-4.476152,-4.663677,-1.296466, 
0,-1.940622,-4.475910,-4.663062,-1.295345, 
0,-1.940186,-4.475583,-4.662671,-1.294701, 
0,-1.939868,-4.475406,-4.662325,-1.293298, 
0,-1.939966,-4.475656,-4.662170,-1.292518, 
0,-1.939213,-4.474757,-4.661339,-1.291216, 
0,-1.939087,-4.474707,-4.661142,-1.289868, 
0,-1.939813,-4.475008,-4.660944,-1.288821, 
0,-1.940191,-4.475011,-4.660933,-1.288317, 
0,-1.942115,-4.475372,-4.661150,-1.287690, 
0,-1.943233,-4.475637,-4.661262,-1.287382, 
0,-1.943488,-4.475721,-4.661459,-1.286813, 
0,-1.943961,-4.476256,-4.661756,-1.286460, 
0,-1.943805,-4.475766,-4.661945,-1.286535, 
0,-1.945053,-4.476476,-4.662334,-1.285757, 
0,-1.945849,-4.476773,-4.662560,-1.284852, 
0,-1.946650,-4.476989,-4.662771,-1.284070, 
0,-1.947422,-4.477456,-4.663314,-1.283454, 
0,-1.948062,-4.477876,-4.664001,-1.282953, 
0,-1.948792,-4.478609,-4.664703,-1.282282, 
0,-1.949399,-4.479047,-4.665441,-1.281427, 
0,-1.950024,-4.479656,-4.666312,-1.281472, 
0,-1.950277,-4.480005,-4.666984,-1.280998, 
0,-1.950192,-4.480329,-4.667262,-1.280928, 
0,-1.950410,-4.481141,-4.668291,-1.281149, 
0,-1.950402,-4.481423,-4.668647,-1.280646, 
0,-1.950198,-4.481800,-4.668682,-1.280340, 
0,-1.950359,-4.482466,-4.669401,-1.280133, 
