-1.000000,-0.008614,-0.005888,-0.007640,-0.012688
-1.000000,-0.008614,-0.005888,-0.007640,-0.012688
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-5.049215,-6.195944,-5.963969,-1.467859, 
0,-5.051963,-6.195997,-5.964402,-1.469475, 
0,-5.053837,-6.195603,-5.964202,-1.469840, 
0,-5.055814,-6.195817,-5.964385,-1.471149, 
0,-5.056465,-6.194715,-5.965931,-1.474206, 
0,-5.055476,-6.192531,-5.965178,-1.474741, 
0,-5.055346,-6.189311,-5.965186,-1.474929, 
0,-5.054282,-6.187486,-5.965040,-1.475674, 
0,-5.050935,-6.189576,-5.965181,-1.476876, 
0,-5.046718,-6.189587,-5.964398,-1.477146, 
1,-5.039399,-6.194389,-5.964111,-1.466496,"Baseline"
0,-5.035172,-6.192908,-5.964120,-1.465447, 
0,-5.031898,-6.192104,-5.965112,-1.466654, 
0,-5.026662,-6.187862,-5.965235,-1.464795, 
0,-5.016806,-6.176286,-5.959133,-1.453506, 
0,-5.021555,-6.189447,-5.967737,-1.470207, 
0,-5.009435,-6.170671,-5.960788,-1.453264, 
0,-5.013397,-6.178506,-5.964663,-1.459751, 
0,-5.004670,-6.173624,-5.962603,-1.459322, 
0,-5.000613,-6.172172,-5.962976,-1.460493, 
0,-4.996502,-6.168977,-5.964674,-1.460746, 
0,-4.992150,-6.165555,-5.963720,-1.462346, 
0,-4.987355,-6.163905,-5.963472,-1.463149, 
0,-4.985590,-6.163281,-5.965671,-1.465304, 
0,-4.986102,-6.161440,-5.966233,-1.467448, 
0,-4.986856,-6.159255,-5.966366,-1.467755, 
0,-4.987487,-6.156712,-5.966895,-1.467632, 
0,-4.987693,-6.154438,-5.967206,-1.467716, 
0,-4.987225,-6.153468,-5.968715,-1.470288, 
0,-4.988255,-6.154864,-5.970695,-1.473480, 
0,-4.987134,-6.152042,-5.971115,-1.471514, 
0,-4.988235,-6.148267,-5.970812,-1.471540, 
0,-4.994224,-6.150373,-5.973546,-1.475977, 
0,-4.999296,-6.151337,-5.974141,-1.476980, 
0,-5.003824,-6.150882,-5.975286,-1.476990, 
0,-5.008535,-6.151605,-5.976898,-1.477154, 
0,-5.012519,-6.152069,-5.977661,-1.477159, 
0,-5.014783,-6.152171,-5.978975,-1.476050, 
0,-5.015345,-6.151482,-5.979616,-1.476662, 
0,-5.015960,-6.151447,-5.980047,-1.476089, 
0,-5.016560,-6.151749,-5.980765,-1.475960, 
0,-5.017327,-6.152537,-5.981918,-1.476634, 
0,-5.017816,-6.153351,-5.983233,-1.478448, 
0,-5.018815,-6.155194,-5.984389,-1.479968, 
0,-5.020386,-6.156256,-5.984147,-1.479812, 
0,-5.021067,-6.157326,-5.985280,-1.479890, 
0,-5.022955,-6.158745,-5.985958,-1.480718, 
0,-5.024660,-6.160511,-5.986278,-1.480753, 
0,-5.025635,-6.161453,-5.986066,-1.480945, 
0,-5.026077,-6.162875,-5.987197,-1.481087, 
0,-5.025209,-6.164398,-5.986311,-1.480986, 
0,-5.024835,-6.166171,-5.987410,-1.482700, 
0,-5.024810,-6.166850,-5.987511,-1.484581, 
0,-5.025390,-6.167569,-5.987358,-1.484810, 
0,-5.024843,-6.168238,-5.987740,-1.484880, 
0,-5.024431,-6.169528,-5.988646,-1.487931, 
0,-5.024550,-6.170776,-5.989159,-1.489340, 
0,-5.025676,-6.172060,-5.989847,-1.490273, 
0,-5.027763,-6.172682,-5.989725,-1.490222, 
0,-5.028801,-6.173714,-5.989581,-1.489013, 
0,-5.028595,-6.174878,-5.989774,-1.489152, 
0,-5.026805,-6.175884,-5.989708,-1.488144, 
0,-5.023589,-6.176427,-5.988807,-1.486127, 
0,-5.019302,-6.176563,-5.987912,-1.484634, 
0,-5.015075,-6.176880,-5.987423,-1.484461, 
0,-5.010252,-6.176726,-5.987038,-1.483186, 
0,-5.005109,-6.176665,-5.985903,-1.482464, 
0,-4.999276,-6.176907,-5.984599,-1.481154, 
0,-4.992882,-6.177181,-5.982904,-1.481221, 
0,-4.984999,-6.181666,-5.980422,-1.480931, 
0,-4.974308,-6.192014,-5.975239,-1.480240, 
0,-4.967543,-6.203354,-5.974085,-1.482663, 
0,-4.958176,-6.206461,-5.969175,-1.477785, 
0,-4.952762,-6.211607,-5.966325,-1.475965, 
0,-4.947331,-6.217228,-5.964429,-1.474928, 
0,-4.941094,-6.218287,-5.961521,-1.472155, 
0,-4.937610,-6.221875,-5.961815,-1.473538, 
0,-4.932000,-6.222585,-5.961219,-1.472944, 
0,-4.926071,-6.222694,-5.959966,-1.472424, 
0,-4.921126,-6.222229,-5.958843,-1.472099, 
0,-4.917352,-6.221317,-5.957331,-1.470933, 
0,-4.913672,-6.220595,-5.956533,-1.471298, 
0,-4.910691,-6.219427,-5.955468,-1.471655, 
0,-4.908734,-6.218012,-5.954633,-1.472333, 
0,-4.906731,-6.217070,-5.954172,-1.473092, 
0,-4.903990,-6.216308,-5.952523,-1.472184, 
0,-4.900729,-6.214831,-5.951646,-1.470759, 
0,-4.896793,-6.212120,-5.950387,-1.470163, 
0,-4.892311,-6.209690,-5.950510,-1.469568, 
0,-4.887346,-6.206713,-5.949122,-1.468911, 
0,-4.883831,-6.204629,-5.948804,-1.469067, 
0,-4.880400,-6.202332,-5.948067,-1.469255, 
0,-4.877273,-6.199829,-5.946661,-1.469538, 
0,-4.874369,-6.198122,-5.946263,-1.469917, 
0,-4.871784,-6.196339,-5.944846,-1.468811, 
0,-4.869615,-6.195087,-5.944417,-1.471290, 
0,-4.869934,-6.194950,-5.944235,-1.475480, 
0,-4.872392,-6.194841,-5.943653,-1.476851, 
0,-4.875012,-6.195070,-5.942341,-1.476087, 
0,-4.877436,-6.195336,-5.943121,-1.476705, 
0,-4.880110,-6.195773,-5.943305,-1.477352, 
0,-4.883885,-6.195502,-5.942724,-1.477143, 
0,-4.886298,-6.195141,-5.943142,-1.476912, 
0,-4.889437,-6.196665,-5.943757,-1.479050, 
0,-4.893886,-6.198814,-5.944299,-1.480184, 
0,-4.899030,-6.201536,-5.944533,-1.480386, 
0,-4.904227,-6.203932,-5.944629,-1.480582, 
0,-4.908237,-6.206323,-5.944975,-1.480064, 
0,-4.911724,-6.209825,-5.944907,-1.479418, 
0,-4.914298,-6.213089,-5.945214,-1.479845, 
0,-4.918401,-6.213855,-5.946686,-1.480972, 
0,-4.923462,-6.213894,-5.948348,-1.481523, 
0,-4.926452,-6.212833,-5.948829,-1.479489, 
0,-4.928622,-6.211772,-5.950298,-1.478569, 
0,-4.929119,-6.211668,-5.950639,-1.478522, 
0,-4.927977,-6.210641,-5.950872,-1.477418, 
0,-4.926597,-6.209015,-5.950671,-1.476096, 
0,-4.925352,-6.207023,-5.950331,-1.475478, 
0,-4.923256,-6.205025,-5.951357,-1.474882, 
0,-4.921246,-6.202540,-5.951554,-1.474422, 
0,-4.919600,-6.199519,-5.952694,-1.474979, 
0,-4.920347,-6.198022,-5.954689,-1.477434, 
0,-4.922551,-6.196267,-5.956009,-1.479201, 
0,-4.925898,-6.194808,-5.956711,-1.480724, 
0,-4.928831,-6.193038,-5.957407,-1.481290, 
0,-4.931789,-6.191657,-5.957645,-1.480729, 
0,-4.933455,-6.189975,-5.957291,-1.479605, 
0,-4.934638,-6.188984,-5.957854,-1.478121, 
0,-4.933893,-6.187715,-5.957942,-1.477763, 
0,-4.932160,-6.185798,-5.958580,-1.478465, 
0,-4.931628,-6.184787,-5.959936,-1.479035, 
0,-4.931399,-6.183446,-5.961160,-1.481282, 
0,-4.931211,-6.181260,-5.960990,-1.484056, 
0,-4.931245,-6.180955,-5.960968,-1.484024, 
0,-4.931254,-6.176182,-5.960737,-1.482826, 
0,-4.934116,-6.177980,-5.963483,-1.486318, 
0,-4.930421,-6.171967,-5.960025,-1.480928, 
0,-4.931213,-6.175326,-5.960860,-1.482708, 
