-1.000000,-0.002112,-0.013470,-0.003872,-0.026870
-1.000000,-0.002112,-0.013470,-0.003872,-0.026870
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-3.288375,-4.093165,-5.209662,-1.153136, 
0,-3.287761,-4.092248,-5.209069,-1.152590, 
0,-3.288239,-4.092731,-5.209312,-1.153363, 
0,-3.288449,-4.092842,-5.209438,-1.153452, 
0,-3.287865,-4.092871,-5.209455,-1.153803, 
0,-3.286842,-4.091780,-5.208934,-1.153129, 
0,-3.287376,-4.091915,-5.209195,-1.154009, 
0,-3.286473,-4.092199,-5.209316,-1.154226, 
0,-3.285467,-4.091548,-5.209095,-1.153883, 
0,-3.285815,-4.091375,-5.208946,-1.153654, 
1,-3.289707,-4.094239,-5.210457,-1.154556,"Baseline"
0,-3.291312,-4.095223,-5.211403,-1.155162, 
0,-3.296027,-4.100722,-5.214663,-1.159871, 
0,-3.297170,-4.100615,-5.214656,-1.158274, 
0,-3.294932,-4.093903,-5.211311,-1.151344, 
0,-3.295938,-4.095957,-5.211656,-1.153278, 
0,-3.292536,-4.086561,-5.207528,-1.144714, 
0,-3.302569,-4.099119,-5.215343,-1.157658, 
0,-3.301403,-4.098852,-5.214984,-1.154885, 
0,-3.303042,-4.100673,-5.216237,-1.156720, 
0,-3.305406,-4.102692,-5.217250,-1.159221, 
0,-3.303662,-4.103724,-5.217807,-1.164652, 
0,-3.293912,-4.103309,-5.218085,-1.176512, 
0,-3.282348,-4.101801,-5.217852,-1.190272, 
0,-3.269854,-4.100871,-5.217991,-1.205948, 
0,-3.258946,-4.100032,-5.217879,-1.220499, 
0,-3.240440,-4.097770,-5.217595,-1.242315, 
0,-3.225451,-4.096001,-5.217449,-1.261069, 
0,-3.211948,-4.094501,-5.217085,-1.280131, 
0,-3.192669,-4.091411,-5.216167,-1.304459, 
0,-3.183799,-4.090439,-5.216076,-1.319469, 
0,-3.180814,-4.089658,-5.215961,-1.327273, 
0,-3.178241,-4.089298,-5.216220,-1.335052, 
0,-3.170444,-4.088361,-5.216227,-1.347674, 
0,-3.168592,-4.087691,-5.216425,-1.355470, 
0,-3.163833,-4.086540,-5.216449,-1.365193, 
0,-3.156794,-4.085793,-5.216492,-1.377048, 
0,-3.156014,-4.085822,-5.216690,-1.382546, 
0,-3.159746,-4.086133,-5.217212,-1.382335, 
0,-3.162699,-4.086489,-5.217753,-1.383198, 
0,-3.159947,-4.085976,-5.218058,-1.389353, 
0,-3.154613,-4.085414,-5.218294,-1.397912, 
0,-3.156973,-4.085597,-5.218837,-1.397811, 
0,-3.155176,-4.085335,-5.219274,-1.403023, 
0,-3.151347,-4.084906,-5.219385,-1.410353, 
0,-3.155546,-4.085383,-5.219781,-1.409555, 
0,-3.155196,-4.084621,-5.219766,-1.412972, 
0,-3.151887,-4.084212,-5.220128,-1.419524, 
0,-3.146681,-4.083007,-5.219915,-1.426784, 
0,-3.142385,-4.083613,-5.220655,-1.434387, 
0,-3.139735,-4.081807,-5.219505,-1.435191, 
0,-3.125534,-4.081400,-5.220223,-1.455796, 
0,-3.122869,-4.083276,-5.221625,-1.464016, 
0,-3.129227,-4.078455,-5.218164,-1.449110, 
0,-3.114964,-4.075471,-5.217713,-1.469141, 
0,-3.109836,-4.075428,-5.217900,-1.478856, 
0,-3.116202,-4.076635,-5.218413,-1.476400, 
0,-3.125733,-4.079549,-5.219778,-1.471058, 
0,-3.132725,-4.082923,-5.221671,-1.469961, 
0,-3.131524,-4.076921,-5.217849,-1.460991, 
0,-3.133243,-4.077127,-5.218338,-1.460876, 
0,-3.142783,-4.079881,-5.219693,-1.456085, 
0,-3.142378,-4.077400,-5.218368,-1.455065, 
0,-3.147149,-4.078546,-5.218802,-1.450059, 
0,-3.152213,-4.078941,-5.218705,-1.443121, 
0,-3.156048,-4.078870,-5.218597,-1.437487, 
0,-3.154679,-4.079729,-5.219224,-1.440390, 
0,-3.160320,-4.081445,-5.219889,-1.434641, 
0,-3.164860,-4.082560,-5.220288,-1.430433, 
0,-3.163507,-4.082614,-5.220566,-1.432461, 
0,-3.160739,-4.082264,-5.220447,-1.435783, 
0,-3.169379,-4.079645,-5.218003,-1.416967, 
0,-3.174969,-4.084087,-5.220626,-1.418894, 
0,-3.171834,-4.085582,-5.221906,-1.425994, 
0,-3.173044,-4.089772,-5.224129,-1.430038, 
0,-3.177774,-4.085966,-5.221062,-1.414417, 
0,-3.182735,-4.089672,-5.222850,-1.414558, 
0,-3.227618,-3.850702,-3.597446,-1.843235, 
0,-3.318936,-3.968475,-3.656294,-2.194020, 
0,-3.228232,-4.198344,-4.778309,-2.154483, 
0,-3.218053,-4.159851,-5.130525,-1.938633, 
0,-3.177595,-4.135246,-5.170429,-1.858351, 
0,-3.169669,-4.125857,-5.190320,-1.793468, 
0,-3.173101,-4.123388,-5.202242,-1.740416, 
0,-3.166182,-4.117701,-5.207837,-1.705830, 
0,-3.166026,-4.115067,-5.212372,-1.672567, 
0,-3.164373,-4.109723,-5.213403,-1.642579, 
0,-3.167822,-4.107645,-5.214995,-1.616093, 
0,-3.167013,-4.104789,-5.216155,-1.596893, 
0,-3.167290,-4.103213,-5.217144,-1.582598, 
0,-3.169775,-4.101484,-5.217487,-1.565990, 
0,-3.177271,-4.101483,-5.218356,-1.546252, 
0,-3.182408,-4.101262,-5.219184,-1.531622, 
0,-3.191153,-4.102193,-5.220318,-1.514655, 
0,-3.193711,-4.101543,-5.220905,-1.504837, 
0,-3.188019,-4.099911,-5.221050,-1.504363, 
0,-3.185714,-4.099120,-5.221573,-1.501806, 
0,-3.188473,-4.099899,-5.222732,-1.496869, 
0,-3.191287,-4.101821,-5.224629,-1.493987, 
0,-3.194065,-4.099192,-5.223359,-1.482600, 
0,-3.202238,-4.099807,-5.224594,-1.472696, 
0,-3.214708,-4.102892,-5.226459,-1.458867, 
0,-3.217234,-4.102941,-5.226573,-1.451432, 
0,-3.221076,-4.105390,-5.228841,-1.448212, 
0,-3.220736,-4.105917,-5.229404,-1.446485, 
0,-3.214436,-4.102952,-5.228392,-1.446010, 
0,-3.217851,-4.103023,-5.228591,-1.438663, 
0,-3.211106,-4.103403,-5.218210,-1.454856, 
0,-3.242961,-4.105369,-5.212164,-1.902611, 
0,-3.277416,-4.119985,-5.247506,-1.626988, 
0,-3.293517,-4.123788,-5.247115,-1.543385, 
0,-3.306968,-4.126574,-5.247206,-1.491918, 
0,-3.317455,-4.129076,-5.246229,-1.454175, 
0,-3.325113,-4.130004,-5.245675,-1.423898, 
0,-3.331722,-4.130802,-5.245689,-1.400442, 
0,-3.330445,-4.103469,-5.053449,-1.385464, 
0,-3.332747,-4.119568,-5.222425,-1.366216, 
0,-3.346237,-4.134759,-5.240432,-1.359101, 
0,-3.349854,-4.134513,-5.242826,-1.341388, 
0,-3.355168,-4.136286,-5.245398,-1.329189, 
0,-3.363379,-4.142945,-5.250752,-1.323860, 
0,-3.360052,-4.131054,-5.244446,-1.302105, 
0,-3.375081,-4.146754,-5.254482,-1.307874, 
0,-3.378684,-4.145900,-5.254370,-1.297944, 
0,-3.388042,-4.145768,-5.255095,-1.291562, 
0,-3.394377,-4.148012,-5.257037,-1.285881, 
0,-3.398565,-4.150162,-5.258166,-1.280170, 
0,-3.402214,-4.151529,-5.259477,-1.275013, 
0,-3.405135,-4.152955,-5.260776,-1.269982, 
0,-3.408024,-4.154573,-5.262098,-1.265922, 
0,-3.409918,-4.155861,-5.263193,-1.262067, 
0,-3.411199,-4.156987,-5.264112,-1.258663, 
0,-3.412547,-4.158030,-5.264954,-1.256028, 
0,-3.413116,-4.158668,-5.265562,-1.252832, 
0,-3.413755,-4.159390,-5.266263,-1.249971, 
0,-3.413958,-4.159826,-5.266980,-1.247293, 
0,-3.414515,-4.160720,-5.267941,-1.245025, 
0,-3.414383,-4.161510,-5.268422,-1.242923, 
0,-3.413747,-4.162157,-5.268907,-1.240878, 
0,-3.413145,-4.162367,-5.269153,-1.238764, 
0,-3.412478,-4.162960,-5.269651,-1.237250, 
0,-3.411878,-4.163387,-5.270066,-1.235773, 
0,-3.411567,-4.163808,-5.270560,-1.234598, 
0,-3.410871,-4.164222,-5.270926,-1.233300, 
0,-3.409940,-4.164730,-5.271309,-1.232288, 
0,-3.409056,-4.165198,-5.271620,-1.231060, 
0,-3.408190,-4.165357,-5.271803,-1.229828, 
0,-3.407129,-4.164359,-5.271379,-1.228003, 
0,-3.408322,-4.164696,-5.271953,-1.228029, 
0,-3.409164,-4.164683,-5.272244,-1.227297, 
0,-3.408756,-4.165075,-5.272551,-1.226505, 
0,-3.407786,-4.164678,-5.272483,-1.225391, 
0,-3.407232,-4.164829,-5.272679,-1.224470, 
0,-3.406560,-4.165306,-5.273137,-1.223686, 
