-1.000000,-0.005138,-0.017598,-0.004735,-0.075233
-1.000000,-0.005138,-0.017598,-0.004735,-0.075233
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.158390,-0.474288,-0.263749,-1.716378, 
0,-0.156586,-0.471806,-0.262202,-1.715217, 
0,-0.164070,-0.483295,-0.266940,-1.725963, 
0,-0.164862,-0.484010,-0.268494,-1.727235, 
0,-0.162925,-0.480923,-0.266641,-1.723593, 
0,-0.159500,-0.476342,-0.262823,-1.717050, 
0,-0.157013,-0.472992,-0.261165,-1.714127, 
0,-0.159011,-0.475613,-0.261419,-1.720376, 
0,-0.159071,-0.475729,-0.261663,-1.721173, 
0,-0.158469,-0.475062,-0.259909,-1.720183, 
1,-0.148805,-0.458842,-0.255047,-1.702137,"Baseline"
0,-0.158600,-0.471433,-0.263981,-1.713951, 
0,-0.148305,-0.462601,-0.254366,-1.704220, 
0,-0.159406,-0.481503,-0.263942,-1.722318, 
0,-0.147667,-0.458530,-0.253680,-1.695511, 
0,-0.168739,-0.488322,-0.273985,-1.711981, 
0,-0.154628,-0.468789,-0.257592,-1.684288, 
0,-0.166537,-0.495124,-0.265988,-1.697344, 
0,-0.168671,-0.495926,-0.267376,-1.701016, 
0,-0.162020,-0.483939,-0.260074,-1.696766, 
0,-0.166810,-0.491000,-0.261266,-1.711325, 
0,-0.167544,-0.492863,-0.263615,-1.730434, 
0,-0.168676,-0.494173,-0.263901,-1.778938, 
0,-0.169499,-0.495130,-0.267042,-1.822960, 
0,-0.169456,-0.495005,-0.268808,-1.869181, 
0,-0.169084,-0.494223,-0.270766,-1.919079, 
0,-0.170327,-0.495378,-0.274719,-1.968442, 
0,-0.170616,-0.495652,-0.279064,-2.005073, 
0,-0.171672,-0.496928,-0.279648,-2.046155, 
0,-0.171596,-0.496690,-0.282729,-2.077410, 
0,-0.172644,-0.498026,-0.285053,-2.109579, 
0,-0.172426,-0.497889,-0.287803,-2.140031, 
0,-0.171231,-0.496188,-0.288282,-2.173336, 
0,-0.172673,-0.498034,-0.291807,-2.205516, 
0,-0.173824,-0.499225,-0.295955,-2.234319, 
0,-0.173704,-0.499066,-0.297410,-2.262408, 
0,-0.173728,-0.499054,-0.297864,-2.289087, 
0,-0.174130,-0.499588,-0.300194,-2.316176, 
0,-0.173192,-0.498301,-0.300326,-2.343000, 
0,-0.174254,-0.499711,-0.303149,-2.371876, 
0,-0.175198,-0.501005,-0.306104,-2.399490, 
0,-0.174481,-0.499923,-0.305837,-2.420227, 
0,-0.174936,-0.500486,-0.307143,-2.443214, 
0,-0.175256,-0.500641,-0.309686,-2.465940, 
0,-0.175525,-0.500977,-0.309744,-2.484647, 
0,-0.175581,-0.501031,-0.311837,-2.503075, 
0,-0.176255,-0.501702,-0.313285,-2.519828, 
0,-0.176149,-0.501620,-0.312635,-2.534870, 
0,-0.176905,-0.501801,-0.313461,-2.549359, 
0,-0.177947,-0.502904,-0.314953,-2.565139, 
0,-0.178030,-0.503277,-0.315768,-2.582019, 
0,-0.177740,-0.502515,-0.315358,-2.597411, 
0,-0.184306,-0.512040,-0.322649,-2.623330, 
0,-0.188278,-0.516233,-0.326747,-2.640104, 
0,-0.183849,-0.509267,-0.323034,-2.644739, 
0,-0.164753,-0.484101,-0.306313,-2.632036, 
0,-0.176070,-0.499945,-0.315919,-2.659607, 
0,-0.178172,-0.502364,-0.319123,-2.673969, 
0,-0.215994,-0.552481,-0.352557,-2.736531, 
0,-0.171910,-0.494729,-0.313873,-2.689927, 
0,-0.160770,-0.478740,-0.302834,-2.684878, 
0,-0.167795,-0.487977,-0.311225,-2.705626, 
0,-0.180538,-0.505278,-0.322267,-2.733339, 
0,-0.180757,-0.505325,-0.323210,-2.747179, 
0,-0.181177,-0.505881,-0.325017,-2.759071, 
0,-0.182331,-0.507492,-0.324972,-2.771777, 
0,-0.178299,-0.501437,-0.321670,-2.776720, 
0,-0.182069,-0.506353,-0.325622,-2.792509, 
0,-0.187309,-0.513199,-0.330839,-2.810621, 
0,-0.181773,-0.505398,-0.325016,-2.813864, 
0,-0.184764,-0.509356,-0.329545,-2.828187, 
0,-0.181781,-0.505442,-0.327120,-2.834288, 
0,-0.182848,-0.507052,-0.327746,-2.844683, 
0,-0.182778,-0.507069,-0.328948,-2.852919, 
0,-0.182922,-0.507350,-0.328969,-2.860545, 
0,-0.183282,-0.507837,-0.330325,-2.868913, 
0,-0.183496,-0.508141,-0.331082,-2.877254, 
0,-0.183601,-0.508178,-0.330390,-2.884651, 
0,-0.184168,-0.508397,-0.330855,-2.893466, 
0,-0.184595,-0.508938,-0.330840,-2.902263, 
0,-0.184861,-0.509062,-0.331261,-2.911374, 
0,-0.185240,-0.509547,-0.332253,-2.920400, 
0,-0.185411,-0.509929,-0.332752,-2.930277, 
0,-0.185131,-0.509967,-0.333107,-2.938952, 
0,-0.185518,-0.510441,-0.332309,-2.946199, 
0,-0.185604,-0.510601,-0.333929,-2.952447, 
0,-0.185697,-0.511101,-0.334154,-2.959222, 
0,-0.186160,-0.511476,-0.335083,-2.965381, 
0,-0.185754,-0.511138,-0.334628,-2.972306, 
0,-0.185798,-0.511073,-0.335281,-2.980384, 
0,-0.186207,-0.511672,-0.335826,-2.987957, 
0,-0.186311,-0.511795,-0.337141,-2.995942, 
0,-0.186437,-0.511863,-0.337670,-3.003447, 
0,-0.186623,-0.512351,-0.338208,-3.010990, 
0,-0.187064,-0.512659,-0.339521,-3.019036, 
0,-0.186783,-0.512276,-0.340021,-3.025526, 
0,-0.186620,-0.512193,-0.340943,-3.032842, 
0,-0.187471,-0.513173,-0.343072,-3.041314, 
0,-0.187259,-0.512462,-0.342658,-3.047150, 
0,-0.187848,-0.512934,-0.344276,-3.055354, 
0,-0.188238,-0.513306,-0.345442,-3.062757, 
0,-0.188406,-0.513450,-0.346145,-3.070683, 
0,-0.188783,-0.513723,-0.347207,-3.077848, 
0,-0.188825,-0.513680,-0.348172,-3.084569, 
0,-0.188973,-0.513686,-0.348585,-3.092986, 
0,-0.188705,-0.513917,-0.350652,-3.100804, 
0,-0.189140,-0.514193,-0.349411,-3.108069, 
0,-0.189013,-0.514081,-0.349895,-3.114614, 
0,-0.189020,-0.514214,-0.351363,-3.119792, 
0,-0.189328,-0.514491,-0.350701,-3.125393, 
0,-0.189781,-0.514807,-0.350921,-3.129887, 
0,-0.189893,-0.514993,-0.351341,-3.133595, 
0,-0.190293,-0.515448,-0.352015,-3.138456, 
0,-0.190590,-0.515529,-0.351414,-3.143729, 
0,-0.191017,-0.515859,-0.352022,-3.149368, 
0,-0.190852,-0.516145,-0.352652,-3.153955, 
0,-0.191662,-0.516585,-0.352677,-3.159094, 
0,-0.191676,-0.516548,-0.352950,-3.164863, 
0,-0.191529,-0.516458,-0.352180,-3.168238, 
0,-0.191377,-0.516666,-0.353132,-3.172814, 
0,-0.191820,-0.516817,-0.351783,-3.178602, 
0,-0.191736,-0.516950,-0.353200,-3.184255, 
0,-0.192177,-0.517074,-0.352878,-3.188668, 
0,-0.192472,-0.517482,-0.353317,-3.194331, 
0,-0.192743,-0.517815,-0.353075,-3.199890, 
0,-0.192782,-0.517825,-0.353255,-3.205261, 
0,-0.192790,-0.517905,-0.354119,-3.210687, 
0,-0.192929,-0.518236,-0.354193,-3.216522, 
0,-0.192941,-0.518482,-0.354230,-3.224346, 
0,-0.193672,-0.519404,-0.355271,-3.230879, 
0,-0.194536,-0.520586,-0.355706,-3.237552, 
0,-0.194425,-0.520385,-0.355220,-3.243592, 
0,-0.194193,-0.519554,-0.355542,-3.246784, 
0,-0.192351,-0.517133,-0.352746,-3.245090, 
0,-0.198218,-0.525464,-0.358661,-3.257834, 
0,-0.195262,-0.520744,-0.354960,-3.256014, 
0,-0.194821,-0.520045,-0.353976,-3.259186, 
0,-0.194887,-0.520143,-0.355026,-3.261677, 
0,-0.194393,-0.519942,-0.353584,-3.265650, 
0,-0.194002,-0.519304,-0.354181,-3.272064, 
0,-0.194539,-0.520168,-0.354268,-3.276351, 
0,-0.195379,-0.521075,-0.355345,-3.281323, 
0,-0.195581,-0.521189,-0.354492,-3.287220, 
0,-0.195683,-0.521337,-0.354569,-3.292969, 
0,-0.195385,-0.520795,-0.355310,-3.297063, 
0,-0.196003,-0.521633,-0.355489,-3.301588, 
0,-0.195915,-0.521945,-0.355258,-3.306021, 
0,-0.195989,-0.521764,-0.354949,-3.309712, 
0,-0.195833,-0.521351,-0.355067,-3.312247, 
0,-0.196310,-0.521744,-0.355658,-3.314773, 
