-1.000000,-0.007069,-0.008659,-0.006037,-0.018918
-1.000000,-0.007069,-0.008659,-0.006037,-0.018918
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.297721,-0.163149,-0.30505,-0.01835, 
0,-0.299207,-0.164152,-0.305562,-0.019805, 
0,-0.297833,-0.163297,-0.304536,-0.018119, 
0,-0.296156,-0.162429,-0.303943,-0.016157, 
0,-0.297817,-0.163382,-0.304771,-0.01827, 
0,-0.30486,-0.168167,-0.308593,-0.026688, 
0,-0.299802,-0.164744,-0.305904,-0.020959, 
0,-0.297388,-0.163283,-0.304361,-0.018101, 
0,-0.296644,-0.162811,-0.304223,-0.017274, 
0,-0.297288,-0.163347,-0.304573,-0.017784, 
1,-0.297166,-0.162749,-0.304772,-0.017606,Baseline
0,-0.296684,-0.162443,-0.303977,-0.016832, 
2,-0.296354,-0.162235,-0.304098,-0.016526,Interferent
0,-0.301126,-0.165427,-0.306871,-0.021899, 
0,-0.325387,-0.181,-0.321219,-0.049543, 
0,-0.302934,-0.166932,-0.309044,-0.024022, 
0,-0.290874,-0.15987,-0.304619,-0.009386, 
0,-0.291255,-0.156524,-0.298906,-0.009132, 
0,-0.283858,-0.153563,-0.296412,-0.001802, 
0,-0.295175,-0.161835,-0.302568,-0.014126, 
0,-0.293028,-0.162993,-0.301614,-0.012435, 
0,-0.297644,-0.167295,-0.304672,-0.017748, 
0,-0.298514,-0.16886,-0.305208,-0.018426, 
0,-0.298802,-0.169918,-0.305061,-0.018337, 
0,-0.297998,-0.170499,-0.304805,-0.017315, 
0,-0.298531,-0.171884,-0.304804,-0.017856, 
0,-0.299222,-0.173347,-0.30568,-0.0183, 
0,-0.298983,-0.174239,-0.305719,-0.018344, 
0,-0.298559,-0.174856,-0.305493,-0.018084, 
0,-0.298842,-0.176017,-0.305326,-0.018106, 
0,-0.298071,-0.176444,-0.304824,-0.017022, 
0,-0.299204,-0.177956,-0.305642,-0.018051, 
0,-0.299039,-0.178658,-0.305407,-0.018561, 
0,-0.299096,-0.179441,-0.305367,-0.01833, 
0,-0.299035,-0.180182,-0.305319,-0.018111, 
0,-0.299096,-0.181104,-0.305672,-0.017842, 
0,-0.298826,-0.181735,-0.30532,-0.017293, 
0,-0.29963,-0.182866,-0.306352,-0.018071, 
0,-0.299668,-0.183574,-0.306345,-0.018273, 
0,-0.299477,-0.184209,-0.306213,-0.01818, 
0,-0.299727,-0.184992,-0.306291,-0.018263, 
0,-0.299786,-0.185637,-0.306368,-0.018253, 
0,-0.299246,-0.185838,-0.30594,-0.01759, 
0,-0.299497,-0.186616,-0.306348,-0.017704, 
0,-0.300011,-0.187408,-0.306685,-0.018284, 
0,-0.302462,-0.189511,-0.307997,-0.020934, 
0,-0.309043,-0.19445,-0.312098,-0.028546, 
0,-0.298798,-0.188437,-0.305991,-0.016274, 
0,-0.29997,-0.189711,-0.306641,-0.017876, 
0,-0.300271,-0.190485,-0.307075,-0.018344, 
0,-0.300183,-0.191054,-0.306751,-0.017905, 
0,-0.298931,-0.190736,-0.306221,-0.016409, 
0,-0.299341,-0.191361,-0.306508,-0.016771, 
0,-0.300424,-0.192256,-0.307124,-0.017941, 
0,-0.300927,-0.192884,-0.307546,-0.018492, 
0,-0.301126,-0.193494,-0.30768,-0.018536, 
0,-0.296486,-0.190888,-0.305086,-0.013274, 
0,-0.300072,-0.193428,-0.307245,-0.017403, 
0,-0.299126,-0.193322,-0.306653,-0.01669, 
0,-0.298722,-0.193128,-0.305956,-0.015488, 
0,-0.305022,-0.198059,-0.310409,-0.023263, 
0,-0.299469,-0.194833,-0.306751,-0.016549, 
0,-0.297208,-0.193481,-0.305359,-0.014058, 
0,-0.301149,-0.196439,-0.308171,-0.01879, 
0,-0.300116,-0.196348,-0.307672,-0.017448, 
0,-0.301243,-0.197364,-0.308118,-0.018428, 
0,-0.301003,-0.197532,-0.30824,-0.01839, 
0,-0.300462,-0.197335,-0.308045,-0.017954, 
0,-0.300383,-0.197626,-0.307907,-0.017873, 
0,-0.300764,-0.198145,-0.307757,-0.017988, 
0,-0.301094,-0.198627,-0.308424,-0.018325, 
0,-0.301276,-0.198999,-0.308369,-0.018485, 
0,-0.301004,-0.199132,-0.308187,-0.018026, 
0,-0.300546,-0.199095,-0.308011,-0.017758, 
0,-0.300883,-0.19986,-0.308146,-0.017979, 
0,-0.300904,-0.200159,-0.30821,-0.018176, 
0,-0.301212,-0.200423,-0.308554,-0.018364, 
0,-0.300898,-0.200295,-0.308538,-0.018207, 
0,-0.300961,-0.200522,-0.308101,-0.018183, 
0,-0.300953,-0.200805,-0.308254,-0.018053, 
0,-0.300858,-0.201032,-0.308341,-0.018051, 
0,-0.300821,-0.201334,-0.308324,-0.018328, 
0,-0.301022,-0.201827,-0.30819,-0.018247, 
0,-0.300979,-0.201946,-0.308288,-0.018082, 
0,-0.300681,-0.201891,-0.308238,-0.017902, 
0,-0.300875,-0.202164,-0.308387,-0.018049, 
0,-0.301112,-0.202568,-0.308398,-0.01821, 
0,-0.30104,-0.202836,-0.308211,-0.018109, 
0,-0.300955,-0.202876,-0.308469,-0.017975, 
0,-0.300707,-0.202987,-0.307956,-0.017857, 
0,-0.300722,-0.203337,-0.308144,-0.018172, 
0,-0.300896,-0.203961,-0.30807,-0.018313, 
0,-0.301019,-0.204308,-0.308292,-0.018262, 
0,-0.300731,-0.204207,-0.308296,-0.018116, 
0,-0.300509,-0.204112,-0.308284,-0.017825, 
0,-0.300753,-0.204354,-0.308303,-0.017936, 
