-1.000000,-0.007444,-0.034874,-0.010438,-0.023611
-1.000000,-0.007444,-0.034874,-0.010438,-0.023611
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.194851,-0.431884,-0.730116,-0.638383, 
0,-0.193852,-0.431226,-0.729865,-0.638007, 
0,-0.192452,-0.430582,-0.729482,-0.637268, 
0,-0.191758,-0.431143,-0.729879,-0.637846, 
0,-0.191199,-0.431855,-0.730643,-0.638451, 
0,-0.189302,-0.430447,-0.729994,-0.636948, 
0,-0.189670,-0.431712,-0.731130,-0.638017, 
0,-0.189337,-0.431673,-0.731191,-0.637623, 
0,-0.189633,-0.431962,-0.731413,-0.637195, 
0,-0.190026,-0.432206,-0.731694,-0.637107, 
1,-0.196034,-0.432642,-0.730825,-0.638726,"Baseline"
0,-0.194277,-0.429195,-0.729172,-0.635301, 
0,-0.181274,-0.407984,-0.717922,-0.614351, 
0,-0.186330,-0.421547,-0.723123,-0.627951, 
0,-0.197320,-0.438536,-0.733073,-0.644815, 
0,-0.193608,-0.433144,-0.732108,-0.638245, 
0,-0.205278,-0.450681,-0.743616,-0.655265, 
0,-0.201725,-0.447687,-0.742809,-0.653865, 
0,-0.197773,-0.439001,-0.746540,-0.649500, 
0,-0.199391,-0.441310,-0.748645,-0.649291, 
0,-0.199185,-0.445420,-0.749857,-0.646327, 
0,-0.201064,-0.449804,-0.751947,-0.649429, 
0,-0.204285,-0.454582,-0.753905,-0.652593, 
0,-0.205604,-0.458818,-0.757585,-0.656415, 
0,-0.206456,-0.462468,-0.760109,-0.658205, 
0,-0.206981,-0.466061,-0.761828,-0.661404, 
0,-0.208479,-0.469160,-0.765052,-0.665518, 
0,-0.209443,-0.471788,-0.767755,-0.668882, 
0,-0.209638,-0.473422,-0.769087,-0.671796, 
0,-0.209896,-0.474956,-0.770002,-0.675281, 
0,-0.210120,-0.475611,-0.770331,-0.678326, 
0,-0.210255,-0.476353,-0.771247,-0.681831, 
0,-0.210547,-0.477188,-0.771797,-0.685062, 
0,-0.210132,-0.477498,-0.771271,-0.687955, 
0,-0.210316,-0.477936,-0.771173,-0.691367, 
0,-0.210379,-0.478208,-0.770736,-0.694455, 
0,-0.210107,-0.478064,-0.770092,-0.697233, 
0,-0.210249,-0.478477,-0.769812,-0.700441, 
0,-0.209916,-0.478117,-0.769097,-0.703164, 
0,-0.209771,-0.478314,-0.768799,-0.705933, 
0,-0.209799,-0.478331,-0.768200,-0.708502, 
0,-0.209741,-0.478245,-0.767240,-0.710902, 
0,-0.210259,-0.478611,-0.767305,-0.713765, 
0,-0.210610,-0.478506,-0.766841,-0.716031, 
0,-0.210689,-0.478505,-0.765930,-0.718334, 
0,-0.211186,-0.478553,-0.764863,-0.720286, 
0,-0.211187,-0.478617,-0.764229,-0.722150, 
0,-0.211196,-0.478795,-0.763777,-0.724091, 
0,-0.211434,-0.479198,-0.763515,-0.726027, 
0,-0.211795,-0.479904,-0.763638,-0.728587, 
0,-0.211622,-0.479951,-0.763030,-0.730321, 
0,-0.211766,-0.480227,-0.762871,-0.732163, 
0,-0.211959,-0.480489,-0.762460,-0.733844, 
0,-0.212081,-0.480653,-0.762280,-0.735586, 
0,-0.212099,-0.480859,-0.762099,-0.737330, 
0,-0.212288,-0.481154,-0.761608,-0.738917, 
0,-0.212339,-0.481416,-0.761547,-0.740713, 
0,-0.212368,-0.481566,-0.761331,-0.742272, 
0,-0.212293,-0.481535,-0.760960,-0.743395, 
0,-0.212474,-0.481947,-0.760991,-0.745172, 
0,-0.211950,-0.481450,-0.760410,-0.745824, 
0,-0.212631,-0.482681,-0.760958,-0.748307, 
0,-0.212088,-0.482305,-0.760400,-0.749029, 
0,-0.212255,-0.482676,-0.760570,-0.750611, 
0,-0.211922,-0.482451,-0.760185,-0.751567, 
0,-0.213016,-0.483578,-0.760681,-0.753842, 
0,-0.212751,-0.483351,-0.760218,-0.754876, 
0,-0.212689,-0.483345,-0.759989,-0.755978, 
0,-0.212666,-0.483510,-0.759719,-0.757151, 
0,-0.212887,-0.483692,-0.759666,-0.758526, 
0,-0.213567,-0.484086,-0.759643,-0.759910, 
