-1.000000,-0.007087,-0.020636,-0.018824,-0.006265
-1.000000,-0.007087,-0.020636,-0.018824,-0.006265
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.263344,-0.667910,-0.515360,-0.530779, 
0,-0.263342,-0.667466,-0.514811,-0.529856, 
0,-0.263500,-0.667365,-0.514572,-0.529690, 
0,-0.263784,-0.667488,-0.514930,-0.529774, 
0,-0.265204,-0.669901,-0.516700,-0.532471, 
0,-0.264815,-0.669791,-0.516299,-0.532031, 
0,-0.264028,-0.669242,-0.515825,-0.531348, 
0,-0.263826,-0.669165,-0.516095,-0.531624, 
0,-0.262870,-0.668225,-0.515200,-0.530517, 
0,-0.263498,-0.668868,-0.515705,-0.531199, 
1,-0.263789,-0.669257,-0.516385,-0.532424,"Baseline"
0,-0.264518,-0.670114,-0.516802,-0.533034, 
0,-0.258014,-0.660811,-0.511254,-0.523882, 
0,-0.260111,-0.666092,-0.513636,-0.528825, 
0,-0.258628,-0.664324,-0.514179,-0.528985, 
0,-0.263519,-0.672451,-0.518048,-0.536157, 
0,-0.252718,-0.656324,-0.507246,-0.518864, 
0,-0.267631,-0.676444,-0.519913,-0.538749, 
0,-0.262983,-0.668734,-0.516866,-0.532569, 
0,-0.264847,-0.669306,-0.518628,-0.534410, 
0,-0.267008,-0.670612,-0.519638,-0.535066, 
0,-0.272190,-0.674768,-0.523640,-0.539264, 
0,-0.275353,-0.676321,-0.526361,-0.542132, 
0,-0.277498,-0.677166,-0.527718,-0.543405, 
0,-0.281196,-0.679323,-0.529532,-0.545246, 
0,-0.285138,-0.681635,-0.531381,-0.547152, 
0,-0.286450,-0.682432,-0.531712,-0.547528, 
0,-0.288187,-0.683625,-0.533291,-0.549132, 
0,-0.288951,-0.683964,-0.533594,-0.549385, 
