-1.000000,-0.007743,-0.023631,-0.019152,-0.026269
-1.000000,-0.007743,-0.023631,-0.019152,-0.026269
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.283530,-0.444617,-0.809971,-0.279233, 
0,-0.281581,-0.444814,-0.810531,-0.279111, 
0,-0.279114,-0.444083,-0.810904,-0.278552, 
0,-0.279006,-0.445048,-0.812141,-0.279577, 
0,-0.280137,-0.445866,-0.813517,-0.280074, 
0,-0.280955,-0.445536,-0.813992,-0.279868, 
0,-0.282227,-0.445769,-0.814683,-0.280005, 
0,-0.283197,-0.445764,-0.815265,-0.279948, 
0,-0.283744,-0.445756,-0.815848,-0.279966, 
0,-0.283456,-0.445606,-0.816639,-0.279989, 
1,-0.288621,-0.446225,-0.810035,-0.280870,"Baseline"
0,-0.293304,-0.449376,-0.811713,-0.284045, 
0,-0.290359,-0.442310,-0.806775,-0.276809, 
0,-0.291890,-0.443432,-0.807156,-0.277804, 
0,-0.290099,-0.441591,-0.828031,-0.276069, 
0,-0.291952,-0.451350,-0.903862,-0.282672, 
0,-0.288804,-0.448542,-0.864744,-0.279335, 
0,-0.287213,-0.452813,-0.858766,-0.463221, 
0,-0.297015,-0.463495,-0.855481,-0.515059, 
0,-0.298268,-0.464504,-0.848568,-0.508042, 
0,-0.300528,-0.466247,-0.845860,-0.529268, 
0,-0.308534,-0.473103,-0.846802,-0.596036, 
0,-0.316772,-0.477852,-0.847959,-0.648358, 
0,-0.324210,-0.480698,-0.848788,-0.682707, 
0,-0.332027,-0.484599,-0.849956,-0.712400, 
0,-0.341539,-0.487932,-0.851248,-0.746880, 
0,-0.349727,-0.490156,-0.851853,-0.769705, 
0,-0.354758,-0.492084,-0.852764,-0.790247, 
0,-0.357457,-0.494177,-0.853686,-0.808844, 
0,-0.359524,-0.496065,-0.854733,-0.825099, 
0,-0.362364,-0.497328,-0.855572,-0.837777, 
0,-0.366295,-0.498960,-0.856595,-0.850075, 
0,-0.368673,-0.500363,-0.857736,-0.861493, 
0,-0.369118,-0.501375,-0.858629,-0.868649, 
0,-0.368579,-0.502482,-0.859573,-0.876713, 
0,-0.367241,-0.503471,-0.860514,-0.884386, 
0,-0.364572,-0.503677,-0.861098,-0.890433, 
0,-0.363314,-0.504734,-0.862101,-0.896356, 
0,-0.363637,-0.506130,-0.863508,-0.902648, 
0,-0.364995,-0.506464,-0.864044,-0.906750, 
0,-0.367418,-0.507214,-0.864852,-0.911009, 
0,-0.369570,-0.507871,-0.865690,-0.915365, 
0,-0.370861,-0.508318,-0.866590,-0.919067, 
0,-0.371669,-0.509204,-0.867659,-0.923153, 
0,-0.371902,-0.509351,-0.868308,-0.925753, 
0,-0.372468,-0.510098,-0.869150,-0.928193, 
0,-0.371403,-0.510437,-0.869618,-0.930375, 
0,-0.370377,-0.510850,-0.870533,-0.932938, 
0,-0.369779,-0.511611,-0.871535,-0.935383, 
0,-0.368863,-0.512126,-0.872195,-0.937086, 
0,-0.369141,-0.512296,-0.872846,-0.938896, 
0,-0.369390,-0.512663,-0.873378,-0.940329, 
0,-0.368171,-0.513220,-0.874435,-0.942531, 
0,-0.366480,-0.513298,-0.875057,-0.944047, 
0,-0.366045,-0.513648,-0.875440,-0.944377, 
0,-0.366764,-0.514177,-0.876144,-0.946129, 
0,-0.367474,-0.514337,-0.876655,-0.947848, 
0,-0.367201,-0.514625,-0.877139,-0.948966, 
0,-0.367415,-0.514860,-0.877593,-0.950192, 
0,-0.371189,-0.515432,-0.878424,-0.952179, 
0,-0.377790,-0.516070,-0.879038,-0.953821, 
0,-0.384776,-0.516463,-0.879430,-0.954365, 
0,-0.390428,-0.516761,-0.880084,-0.955139, 
0,-0.393997,-0.517138,-0.880675,-0.956068, 
0,-0.396608,-0.517754,-0.881499,-0.957589, 
0,-0.397745,-0.518212,-0.882102,-0.958311, 
0,-0.398722,-0.518722,-0.882924,-0.958748, 
0,-0.398641,-0.519274,-0.883697,-0.959456, 
0,-0.397453,-0.519794,-0.884165,-0.959971, 
0,-0.395728,-0.520059,-0.885204,-0.961064, 
0,-0.395843,-0.520560,-0.885975,-0.961978, 
0,-0.396375,-0.521094,-0.886565,-0.962216, 
0,-0.395344,-0.520946,-0.887388,-0.962958, 
0,-0.395362,-0.521605,-0.888216,-0.963439, 
0,-0.395572,-0.522022,-0.888865,-0.963871, 
0,-0.394159,-0.522359,-0.889613,-0.964672, 
0,-0.392536,-0.522376,-0.890151,-0.965052, 
0,-0.391926,-0.522907,-0.890868,-0.965641, 
0,-0.390371,-0.523232,-0.891483,-0.966152, 
0,-0.388497,-0.523536,-0.892147,-0.966988, 
0,-0.386164,-0.523826,-0.892858,-0.967747, 
0,-0.383700,-0.524362,-0.893544,-0.968490, 
0,-0.380550,-0.524378,-0.894105,-0.969238, 
0,-0.378478,-0.524421,-0.894648,-0.969449, 
0,-0.377558,-0.524671,-0.895156,-0.970241, 
0,-0.377127,-0.524706,-0.895473,-0.970410, 
0,-0.378549,-0.524729,-0.895790,-0.970280, 
0,-0.381132,-0.525208,-0.896360,-0.971327, 
0,-0.384373,-0.525446,-0.896679,-0.971727, 
0,-0.388228,-0.525734,-0.897332,-0.972736, 
0,-0.392191,-0.526006,-0.897732,-0.973469, 
0,-0.396438,-0.526542,-0.898427,-0.974401, 
0,-0.401011,-0.527169,-0.899215,-0.975602, 
0,-0.407196,-0.527516,-0.899736,-0.976069, 
0,-0.413932,-0.528029,-0.900299,-0.976343, 
0,-0.418482,-0.528615,-0.901160,-0.976626, 
0,-0.420189,-0.529177,-0.901790,-0.976815, 
0,-0.420655,-0.530731,-0.966227,-0.977558, 
0,-0.422972,-0.540360,-1.153966,-0.978023, 
0,-0.426440,-0.548420,-1.204015,-0.978543, 
0,-0.427972,-0.553832,-1.235432,-0.979237, 
0,-0.428871,-0.558269,-1.257016,-0.980322, 
0,-0.430510,-0.561890,-1.273272,-0.980523, 
0,-0.431733,-0.564532,-1.285950,-0.981485, 
0,-0.431236,-0.566435,-1.294979,-0.982059, 
0,-0.430525,-0.568041,-1.301266,-0.982354, 
0,-0.431165,-0.569165,-1.305424,-0.982748, 
0,-0.435995,-0.570167,-1.308973,-0.983759, 
0,-0.444184,-0.571050,-1.314311,-0.985196, 
0,-0.454759,-0.571759,-1.320466,-0.986177, 
0,-0.467049,-0.572704,-1.328121,-0.987036, 
0,-0.480065,-0.573907,-1.327895,-0.987572, 
0,-0.492558,-0.573610,-1.297906,-0.988031, 
0,-0.503518,-0.572908,-1.283261,-0.988661, 
0,-0.513334,-0.572254,-1.274485,-0.989823, 
0,-0.523288,-0.571535,-1.267367,-0.990908, 
0,-0.533670,-0.570966,-1.261405,-0.991274, 
0,-0.543249,-0.570655,-1.256662,-0.991116, 
0,-0.551937,-0.570735,-1.253363,-0.991215, 
0,-0.560859,-0.570706,-1.249127,-0.990538, 
0,-0.568995,-0.570875,-1.245766,-0.990609, 
0,-0.573543,-0.570332,-1.242668,-0.990226, 
0,-0.576594,-0.570239,-1.241060,-0.990479, 
0,-0.581178,-0.570810,-1.239663,-0.991372, 
0,-0.587446,-0.570913,-1.237095,-0.990877, 
0,-0.595494,-0.571335,-1.235982,-0.991487, 
0,-0.605988,-0.571653,-1.235515,-0.992320, 
0,-0.618631,-0.572229,-1.235045,-0.993824, 
0,-0.630840,-0.572961,-1.235430,-0.995276, 
0,-0.643048,-0.573673,-1.235270,-0.996310, 
0,-0.655082,-0.573885,-1.234581,-0.996238, 
0,-0.666297,-0.574592,-1.234743,-0.995889, 
0,-0.674786,-0.575256,-1.234992,-0.996089, 
0,-0.680778,-0.575687,-1.235144,-0.996304, 
0,-0.687991,-0.576615,-1.235780,-0.997464, 
0,-0.697425,-0.577012,-1.236731,-0.998554, 
0,-0.708425,-0.577575,-1.237389,-0.998260, 
0,-0.719609,-0.578403,-1.237945,-0.998124, 
0,-0.729609,-0.578535,-1.238454,-0.997078, 
0,-0.739823,-0.579431,-1.239323,-0.997423, 
0,-0.750753,-0.580388,-1.240788,-0.999289, 
0,-0.763695,-0.581379,-1.242263,-1.000875, 
0,-0.777347,-0.581903,-1.243119,-1.000984, 
0,-0.790106,-0.582934,-1.244273,-1.000895, 
0,-0.800364,-0.583612,-1.245454,-1.000820, 
0,-0.810221,-0.584443,-1.245875,-1.000456, 
0,-0.821452,-0.585380,-1.247952,-1.001544, 
0,-0.834113,-0.586165,-1.249744,-1.003247, 
0,-0.848319,-0.586983,-1.250696,-1.004359, 
0,-0.863126,-0.588214,-1.252413,-1.005850, 
0,-0.875757,-0.589350,-1.254837,-1.006429, 
0,-0.886461,-0.589951,-1.256053,-1.006000, 
0,-0.895384,-0.590737,-1.257236,-1.005816, 
0,-0.903075,-0.591741,-1.258333,-1.005543, 
0,-0.907740,-0.592381,-1.259988,-1.005755, 
0,-0.909108,-0.593080,-1.261640,-1.005787, 
0,-0.908269,-0.593747,-1.263150,-1.005917, 
0,-0.906188,-0.594449,-1.265261,-1.006002, 
0,-0.907735,-0.595438,-1.267842,-1.006788, 
0,-0.912636,-0.596173,-1.270102,-1.007201, 
0,-0.917495,-0.596764,-1.272104,-1.007034, 
0,-0.923158,-0.597619,-1.273531,-1.006777, 
0,-0.927833,-0.598300,-1.275965,-1.007037, 
0,-0.929698,-0.599022,-1.278247,-1.007714, 
0,-0.929114,-0.599745,-1.279785,-1.007933, 
0,-0.925086,-0.600409,-1.280893,-1.007840, 
0,-0.916624,-0.600908,-1.282048,-1.007598, 
0,-0.905363,-0.601149,-1.283818,-1.007418, 
0,-0.890325,-0.601525,-1.285254,-1.007313, 
0,-0.869760,-0.601736,-1.286042,-1.006545, 
0,-0.847036,-0.601745,-1.287797,-1.006532, 
0,-0.824594,-0.601661,-1.288640,-1.006056, 
0,-0.801309,-0.601630,-1.289575,-1.005768, 
0,-0.776907,-0.601704,-1.291527,-1.005512, 
0,-0.751327,-0.601019,-1.293393,-1.005261, 
0,-0.726356,-0.601106,-1.295388,-1.005603, 
0,-0.705531,-0.601053,-1.296707,-1.006090, 
0,-0.687982,-0.600576,-1.297432,-1.006110, 
0,-0.671144,-0.600192,-1.297703,-1.005589, 
0,-0.656204,-0.600109,-1.298275,-1.006207, 
0,-0.643705,-0.600163,-1.299387,-1.007182, 
0,-0.634414,-0.600161,-1.300205,-1.007450, 
0,-0.628908,-0.600144,-1.300933,-1.007975, 
0,-0.627287,-0.599994,-1.300891,-1.008588, 
0,-0.628428,-0.599752,-1.300988,-1.008270, 
0,-0.630990,-0.599925,-1.301530,-1.008094, 
0,-0.638345,-0.599924,-1.302057,-1.009891, 
0,-0.652026,-0.599962,-1.302547,-1.011884, 
0,-0.667015,-0.600460,-1.303588,-1.012812, 
0,-0.681770,-0.601003,-1.304177,-1.013634, 
0,-0.696743,-0.601679,-1.305051,-1.014511, 
0,-0.712289,-0.602326,-1.306633,-1.015872, 
0,-0.727777,-0.603084,-1.307507,-1.015849, 
0,-0.739255,-0.603669,-1.308981,-1.015902, 
0,-0.744231,-0.604147,-1.309928,-1.014919, 
0,-0.742656,-0.604765,-1.311144,-1.014669, 
0,-0.737479,-0.605259,-1.312712,-1.014227, 
0,-0.734214,-0.605588,-1.313893,-1.014675, 
0,-0.734379,-0.605929,-1.314547,-1.014771, 
0,-0.734116,-0.606341,-1.314883,-1.014730, 
0,-0.731406,-0.606851,-1.315994,-1.014570, 
