-1.000000,-0.000987,-0.014040,-0.003466,-0.003531
-1.000000,-0.000987,-0.014040,-0.003466,-0.003531
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.28353,-0.444617,-0.2806947,-0.279233, 
0,-0.281581,-0.444814,-0.27876519,-0.279111, 
0,-0.279114,-0.444083,-0.27632286,-0.278552, 
0,-0.279006,-0.445048,-0.27621594,-0.279577, 
0,-0.280137,-0.445866,-0.27733563,-0.280074, 
0,-0.280955,-0.445536,-0.27814545,-0.279868, 
0,-0.282227,-0.445769,-0.27940473,-0.280005, 
0,-0.283197,-0.445764,-0.28036503,-0.279948, 
0,-0.283744,-0.445756,-0.28090656,-0.279966, 
0,-0.283456,-0.445606,-0.28062144,-0.279989, 
1,-0.288621,-0.446225,-0.28573479,-0.28087,Baseline
0,-0.293304,-0.449376,-0.29037096,-0.284045, 
0,-0.290359,-0.44231,-0.28745541,-0.276809, 
0,-0.29189,-0.443432,-0.2889711,-0.277804, 
0,-0.290099,-0.441591,-0.28719801,-0.276069, 
0,-0.291952,-0.45135,-0.28903248,-0.282672, 
0,-0.288804,-0.448542,-0.28591596,-0.279335, 
0,-0.287213,-0.452813,-0.28434087,-0.463221, 
0,-0.297015,-0.463495,-0.29404485,-0.515059, 
0,-0.298268,-0.464504,-0.29528532,-0.508042, 
0,-0.300528,-0.466247,-0.29752272,-0.529268, 
0,-0.308534,-0.473103,-0.30544866,-0.596036, 
0,-0.316772,-0.477852,-0.31360428,-0.648358, 
0,-0.32421,-0.480698,-0.3209679,-0.682707, 
0,-0.332027,-0.484599,-0.32870673,-0.7124, 
0,-0.341539,-0.487932,-0.33812361,-0.74688, 
0,-0.349727,-0.490156,-0.34622973,-0.769705, 
0,-0.354758,-0.492084,-0.35121042,-0.790247, 
0,-0.357457,-0.494177,-0.35388243,-0.808844, 
0,-0.359524,-0.496065,-0.35592876,-0.825099, 
0,-0.362364,-0.497328,-0.35874036,-0.837777, 
0,-0.366295,-0.49896,-0.36263205,-0.850075, 
0,-0.368673,-0.500363,-0.36498627,-0.861493, 
0,-0.369118,-0.501375,-0.36542682,-0.868649, 
0,-0.368579,-0.502482,-0.36489321,-0.876713, 
0,-0.367241,-0.503471,-0.36356859,-0.884386, 
0,-0.364572,-0.503677,-0.36092628,-0.890433, 
0,-0.363314,-0.504734,-0.35968086,-0.896356, 
0,-0.363637,-0.50613,-0.36000063,-0.902648, 
0,-0.364995,-0.506464,-0.36134505,-0.90675, 
0,-0.367418,-0.507214,-0.36374382,-0.911009, 
0,-0.36957,-0.507871,-0.3658743,-0.915365, 
0,-0.370861,-0.508318,-0.36715239,-0.919067, 
0,-0.371669,-0.509204,-0.36795231,-0.923153, 
0,-0.371902,-0.509351,-0.36818298,-0.925753, 
0,-0.372468,-0.510098,-0.36874332,-0.928193, 
0,-0.371403,-0.510437,-0.36768897,-0.930375, 
0,-0.370377,-0.51085,-0.36667323,-0.932938, 
0,-0.369779,-0.511611,-0.36608121,-0.935383, 
0,-0.368863,-0.512126,-0.36517437,-0.937086, 
0,-0.369141,-0.512296,-0.36544959,-0.938896, 
0,-0.36939,-0.512663,-0.3656961,-0.940329, 
0,-0.368171,-0.51322,-0.36448929,-0.942531, 
0,-0.36648,-0.513298,-0.3628152,-0.944047, 
0,-0.366045,-0.513648,-0.36238455,-0.944377, 
0,-0.366764,-0.514177,-0.36309636,-0.946129, 
0,-0.367474,-0.514337,-0.36379926,-0.947848, 
0,-0.367201,-0.514625,-0.36352899,-0.948966, 
0,-0.367415,-0.51486,-0.36374085,-0.950192, 
0,-0.371189,-0.515432,-0.36747711,-0.952179, 
0,-0.37779,-0.51607,-0.3740121,-0.953821, 
0,-0.384776,-0.516463,-0.38092824,-0.954365, 
0,-0.390428,-0.516761,-0.38652372,-0.955139, 
0,-0.393997,-0.517138,-0.39005703,-0.956068, 
0,-0.396608,-0.517754,-0.39264192,-0.957589, 
0,-0.397745,-0.518212,-0.39376755,-0.958311, 
0,-0.398722,-0.518722,-0.39473478,-0.958748, 
0,-0.398641,-0.519274,-0.39465459,-0.959456, 
0,-0.397453,-0.519794,-0.39347847,-0.959971, 
0,-0.395728,-0.520059,-0.39177072,-0.961064, 
0,-0.395843,-0.52056,-0.39188457,-0.961978, 
0,-0.396375,-0.521094,-0.39241125,-0.962216, 
0,-0.395344,-0.520946,-0.39139056,-0.962958, 
0,-0.395362,-0.521605,-0.39140838,-0.963439, 
0,-0.395572,-0.522022,-0.39161628,-0.963871, 
0,-0.394159,-0.522359,-0.39021741,-0.964672, 
0,-0.392536,-0.522376,-0.38861064,-0.965052, 
0,-0.391926,-0.522907,-0.38800674,-0.965641, 
0,-0.390371,-0.523232,-0.38646729,-0.966152, 
0,-0.388497,-0.523536,-0.38461203,-0.966988, 
0,-0.386164,-0.523826,-0.38230236,-0.967747, 
0,-0.3837,-0.524362,-0.379863,-0.96849, 
0,-0.38055,-0.524378,-0.3767445,-0.969238, 
0,-0.378478,-0.524421,-0.37469322,-0.969449, 
0,-0.377558,-0.524671,-0.37378242,-0.970241, 
0,-0.377127,-0.524706,-0.37335573,-0.97041, 
0,-0.378549,-0.524729,-0.37476351,-0.97028, 
0,-0.381132,-0.525208,-0.37732068,-0.971327, 
0,-0.384373,-0.525446,-0.38052927,-0.971727, 
0,-0.388228,-0.525734,-0.38434572,-0.972736, 
0,-0.392191,-0.526006,-0.38826909,-0.973469, 
0,-0.396438,-0.526542,-0.39247362,-0.974401, 
0,-0.401011,-0.527169,-0.39700089,-0.975602, 
0,-0.407196,-0.527516,-0.40312404,-0.976069, 
0,-0.413932,-0.528029,-0.40979268,-0.976343, 
0,-0.418482,-0.528615,-0.41429718,-0.976626, 
0,-0.420189,-0.529177,-0.41598711,-0.976815, 
0,-0.420655,-0.530731,-0.41644845,-0.977558, 
0,-0.422972,-0.54036,-0.41874228,-0.978023, 
0,-0.42644,-0.54842,-0.4221756,-0.978543, 
