-1.000000,-0.000301,-0.039313,-0.001830,-0.026444
-1.000000,-0.000301,-0.039313,-0.001830,-0.026444
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.544973,-1.384670,-1.551890,-0.350163, 
0,-0.545601,-1.385223,-1.552906,-0.351146, 
0,-0.545676,-1.384866,-1.552161,-0.350226, 
0,-0.545975,-1.385406,-1.552843,-0.350463, 
0,-0.545114,-1.384853,-1.552515,-0.350250, 
0,-0.545563,-1.384878,-1.552810,-0.350782, 
0,-0.546797,-1.386088,-1.553261,-0.351612, 
0,-0.547426,-1.386439,-1.554647,-0.352677, 
0,-0.562685,-1.404226,-1.565534,-0.368745, 
0,-0.547286,-1.387198,-1.554634,-0.352033, 
1,-0.547152,-1.387284,-1.553062,-0.352492,"Baseline"
0,-0.545529,-1.385186,-1.551420,-0.350567, 
0,-0.544262,-1.383781,-1.550680,-0.349681, 
0,-0.545226,-1.385122,-1.550958,-0.350345, 
0,-0.535675,-1.369245,-1.541936,-0.334531, 
0,-0.541139,-1.381124,-1.546627,-0.346352, 
0,-0.545605,-1.387877,-1.550684,-0.352651, 
0,-0.542097,-1.380295,-1.547905,-0.346677, 
0,-0.547490,-1.388324,-1.552748,-0.355373, 
0,-0.548045,-1.391224,-1.552393,-0.358013, 
0,-0.541087,-1.379934,-1.547391,-0.347343, 
0,-0.545762,-1.383701,-1.550962,-0.352498, 
0,-0.543169,-1.382721,-1.559322,-0.350483, 
0,-0.543849,-1.384685,-1.572096,-0.353014, 
0,-0.542734,-1.384447,-1.586462,-0.351538, 
0,-0.543862,-1.386278,-1.596463,-0.352683, 
0,-0.544988,-1.388410,-1.613856,-0.353627, 
0,-0.545127,-1.390456,-1.635849,-0.353963, 
0,-0.544686,-1.392722,-1.657098,-0.354395, 
0,-0.545057,-1.395064,-1.673821,-0.355290, 
0,-0.544960,-1.396808,-1.686960,-0.355514, 
0,-0.545119,-1.398574,-1.697815,-0.356055, 
0,-0.545431,-1.400064,-1.706689,-0.356301, 
0,-0.545210,-1.400883,-1.714213,-0.356553, 
0,-0.545426,-1.401730,-1.719509,-0.356288, 
0,-0.545377,-1.401978,-1.724663,-0.356328, 
0,-0.545776,-1.402786,-1.729316,-0.356679, 
0,-0.546602,-1.404095,-1.733603,-0.357111, 
0,-0.546989,-1.404835,-1.736838,-0.357054, 
0,-0.546796,-1.404765,-1.738846,-0.356813, 
0,-0.546811,-1.405267,-1.740874,-0.357251, 
0,-0.546711,-1.405318,-1.742078,-0.356317, 
0,-0.545690,-1.404009,-1.742670,-0.355149, 
0,-0.545912,-1.403866,-1.744314,-0.355484, 
0,-0.550965,-1.409960,-1.749694,-0.360519, 
0,-0.548274,-1.406905,-1.750133,-0.357708, 
0,-0.548924,-1.407016,-1.751287,-0.357544, 
0,-0.549191,-1.407081,-1.752790,-0.357770, 
0,-0.549916,-1.407914,-1.755174,-0.358430, 
0,-0.549525,-1.407688,-1.756819,-0.358078, 
0,-0.549973,-1.408186,-1.757217,-0.357107, 
0,-0.549628,-1.407365,-1.757844,-0.356872, 
0,-0.550540,-1.408210,-1.759768,-0.358324, 
0,-0.550919,-1.408692,-1.760979,-0.358665, 
0,-0.551674,-1.409016,-1.762575,-0.358845, 
0,-0.551867,-1.408720,-1.764184,-0.358633, 
0,-0.552243,-1.408726,-1.765279,-0.358333, 
0,-0.552762,-1.408994,-1.766015,-0.357716, 
