-1.000000,0.000435,-0.026670,0.002305,-0.021500
-1.000000,0.000435,-0.026670,0.002305,-0.021500
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.305367,-2.653456,-4.771967,-0.347557, 
0,-0.304322,-2.655144,-4.772015,-0.348171, 
0,-0.305241,-2.656801,-4.772721,-0.349380, 
0,-0.306457,-2.659006,-4.773380,-0.350228, 
0,-0.307009,-2.660249,-4.773803,-0.350634, 
0,-0.306325,-2.660061,-4.773272,-0.349902, 
0,-0.305924,-2.661099,-4.773248,-0.349637, 
0,-0.306525,-2.662196,-4.773390,-0.350342, 
0,-0.307516,-2.665097,-4.773843,-0.351168, 
0,-0.306666,-2.664793,-4.772938,-0.350346, 
1,-0.305520,-2.652065,-4.772272,-0.347492,"Baseline"
0,-0.307258,-2.652355,-4.772641,-0.348512, 
0,-0.305169,-2.648402,-4.768760,-0.345585, 
0,-0.307853,-2.648486,-4.766217,-0.347605, 
0,-0.306097,-2.647339,-4.763896,-0.347344, 
0,-0.311286,-2.654651,-4.767912,-0.356482, 
0,-0.305453,-2.641148,-4.762550,-0.343599, 
0,-0.302872,-2.637499,-4.762652,-0.340114, 
0,-0.300602,-2.648975,-4.778301,-0.376173, 
0,-0.310833,-2.769692,-4.904508,-1.285843, 
0,-0.318361,-2.831392,-5.095289,-2.209795, 
0,-0.320053,-2.845769,-5.204447,-2.130011, 
0,-0.321314,-2.881998,-5.287314,-2.036420, 
0,-0.327094,-2.966870,-5.384987,-2.172419, 
0,-0.331326,-3.027105,-5.497670,-2.366507, 
0,-0.333052,-3.061036,-5.596385,-2.351101, 
0,-0.335927,-3.099354,-5.680808,-2.349284, 
0,-0.338243,-3.136833,-5.756972,-2.375016, 
0,-0.340233,-3.172921,-5.824398,-2.393887, 
0,-0.342333,-3.207852,-5.886962,-2.370979, 
0,-0.343585,-3.233470,-5.945988,-2.360622, 
0,-0.345076,-3.254393,-6.001712,-2.354358, 
0,-0.346062,-3.273083,-6.054066,-2.352736, 
0,-0.346901,-3.290807,-6.103847,-2.349434, 
0,-0.347670,-3.306647,-6.150392,-2.345254, 
0,-0.349260,-3.320717,-6.195612,-2.340208, 
0,-0.351406,-3.333166,-6.236735,-2.341469, 
0,-0.352406,-3.344440,-6.275026,-2.332833, 
0,-0.352825,-3.354298,-6.313439,-2.317030, 
0,-0.353289,-3.364250,-6.350679,-2.315014, 
0,-0.353775,-3.373883,-6.384922,-2.322253, 
0,-0.354218,-3.382202,-6.416338,-2.323151, 
0,-0.354796,-3.390653,-6.447143,-2.316753, 
0,-0.355296,-3.398211,-6.477072,-2.319786, 
0,-0.355672,-3.406594,-6.506902,-2.320167, 
0,-0.356127,-3.414026,-6.539105,-2.323202, 
0,-0.357091,-3.419474,-6.567325,-2.320995, 
0,-0.358972,-3.424940,-6.593434,-2.314143, 
0,-0.359668,-3.429585,-6.619119,-2.305578, 
0,-0.359813,-3.432821,-6.639567,-2.306264, 
0,-0.360175,-3.436587,-6.661134,-2.301684, 
0,-0.361024,-3.441780,-6.682456,-2.294167, 
0,-0.361563,-3.446227,-6.702992,-2.295873, 
0,-0.362176,-3.449605,-6.726336,-2.294677, 
0,-0.362622,-3.452665,-6.749705,-2.295844, 
0,-0.363777,-3.455508,-6.773502,-2.289490, 
