-1.000000,-0.004269,-0.015846,0.000059,-0.004714
-1.000000,-0.004269,-0.015846,0.000059,-0.004714
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.782129,-0.509772,-0.000684,-0.223939, 
0,-0.784264,-0.512767,-0.002328,-0.227268, 
0,-0.783327,-0.510597,-0.001982,-0.226112, 
0,-0.782768,-0.510504,-0.000777,-0.223901, 
0,-0.793870,-0.529654,-0.012088,-0.241603, 
0,-0.774187,-0.499459,0.005889,-0.211802, 
0,-0.763563,-0.481843,0.016501,-0.193434, 
0,-0.753268,-0.464638,0.029962,-0.175418, 
0,-0.829723,-0.591343,-0.048129,-0.302475, 
0,-0.776470,-0.504922,0.004434,-0.215253, 
1,-0.785152,-0.518358,-0.001617,-0.225098,"Baseline"
0,-0.786830,-0.521547,-0.000259,-0.222227, 
0,-0.785636,-0.520880,0.000262,-0.219792, 
0,-0.777849,-0.513321,0.007196,-0.210145, 
0,-0.791279,-0.535420,-0.005998,-0.231185, 
0,-0.787726,-0.532523,-0.003147,-0.224923, 
0,-0.806932,-0.559912,-0.017086,-0.248489, 
0,-0.805865,-0.557737,-0.012939,-0.243699, 
0,-0.750642,-0.466342,0.042940,-0.153858, 
0,-0.789324,-0.526909,0.005647,-0.217594, 
0,-0.811521,-0.563582,-0.017019,-0.252887, 
0,-0.780273,-0.512392,0.013972,-0.200592, 
0,-0.798993,-0.541620,-0.001965,-0.226511, 
0,-0.799452,-0.537765,0.001058,-0.220527, 
0,-0.805953,-0.546063,-0.003706,-0.228669, 
0,-0.808798,-0.548163,-0.005346,-0.231785, 
0,-0.804032,-0.538060,0.001006,-0.221616, 
0,-0.821474,-0.561785,-0.011892,-0.243294, 
0,-0.808514,-0.536687,0.003858,-0.217484, 
0,-0.818478,-0.547676,-0.001028,-0.225268, 
0,-0.823443,-0.550520,-0.001273,-0.226169, 
0,-0.828362,-0.554097,-0.001279,-0.226187, 
0,-0.831853,-0.555361,-0.001113,-0.226387, 
0,-0.835904,-0.558248,-0.001105,-0.226494, 
0,-0.839617,-0.561418,-0.001191,-0.226712, 
0,-0.842957,-0.563823,-0.001204,-0.226520, 
0,-0.851030,-0.571898,-0.001273,-0.226886, 
0,-0.852850,-0.573644,-0.001362,-0.226976, 
0,-0.855020,-0.576079,-0.001146,-0.226693, 
0,-0.857497,-0.579015,-0.001164,-0.226641, 
0,-0.859286,-0.580042,-0.001106,-0.225879, 
0,-0.862695,-0.582282,-0.001079,-0.225960, 
0,-0.865249,-0.584405,-0.001333,-0.225938, 
0,-0.866353,-0.584442,-0.000618,-0.223582, 
0,-0.870450,-0.589808,-0.003139,-0.228119, 
0,-0.867446,-0.583070,0.001307,-0.220083, 
0,-0.867568,-0.581872,0.002655,-0.217658, 
0,-0.882136,-0.603224,-0.009393,-0.236987, 
0,-0.860891,-0.566391,0.014550,-0.198257, 
0,-0.911842,-0.648357,-0.035181,-0.277874, 
0,-0.867329,-0.572839,0.011090,-0.202262, 
0,-0.872415,-0.579683,0.007619,-0.208713, 
0,-0.880111,-0.592523,-0.000301,-0.221011, 
