-1.000000,-0.001351,-0.020342,-0.001570,-0.009176
-1.000000,-0.001351,-0.020342,-0.001570,-0.009176
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.218586,-0.240136,-0.238224,-0.298919, 
0,-0.218892,-0.240635,-0.238361,-0.299331, 
0,-0.220563,-0.243456,-0.239792,-0.302179, 
0,-0.221856,-0.246040,-0.241169,-0.304859, 
0,-0.223323,-0.248692,-0.242412,-0.307566, 
0,-0.218426,-0.239570,-0.237972,-0.298398, 
0,-0.198199,-0.204193,-0.220023,-0.262858, 
0,-0.210875,-0.226098,-0.231200,-0.284726, 
0,-0.215686,-0.234886,-0.235709,-0.293882, 
0,-0.221917,-0.245443,-0.240960,-0.304092, 
1,-0.204003,-0.212375,-0.224874,-0.271222,"Baseline"
0,-0.240247,-0.276712,-0.256969,-0.335632, 
0,-0.195581,-0.201848,-0.218107,-0.260544, 
0,-0.215765,-0.236612,-0.235334,-0.294994, 
0,-0.214089,-0.233910,-0.233962,-0.292593, 
0,-0.224580,-0.246290,-0.235670,-0.294667, 
0,-0.267915,-0.324522,-0.279136,-0.379909, 
0,-0.191446,-0.194636,-0.210802,-0.247716, 
0,-0.245880,-0.287358,-0.259013,-0.341900, 
0,-0.196487,-0.202083,-0.216608,-0.255719, 
0,-0.225884,-0.251985,-0.243096,-0.304388, 
0,-0.230989,-0.258898,-0.249862,-0.314918, 
0,-0.230689,-0.254250,-0.247488,-0.306689, 
0,-0.232384,-0.257164,-0.249672,-0.310479, 
0,-0.223856,-0.241901,-0.242305,-0.294571, 
0,-0.228646,-0.249433,-0.246701,-0.301671, 
0,-0.229243,-0.249331,-0.246955,-0.301071, 
0,-0.217511,-0.229549,-0.237189,-0.281096, 
0,-0.230814,-0.251787,-0.249037,-0.303104, 
0,-0.239884,-0.266425,-0.256567,-0.317072, 
0,-0.220536,-0.233749,-0.239930,-0.284214, 
0,-0.237934,-0.262282,-0.254920,-0.312610, 
0,-0.230705,-0.250035,-0.248599,-0.299973, 
0,-0.231741,-0.251395,-0.249512,-0.301099, 
0,-0.231575,-0.251087,-0.249681,-0.300961, 
0,-0.231115,-0.250249,-0.249256,-0.299870, 
0,-0.232039,-0.251631,-0.250143,-0.301178, 
0,-0.231616,-0.250951,-0.249805,-0.300351, 
0,-0.230526,-0.249214,-0.248944,-0.298643, 
0,-0.220903,-0.233196,-0.240749,-0.282717, 
0,-0.232792,-0.252496,-0.250757,-0.301350, 
0,-0.220927,-0.232658,-0.240738,-0.281728, 
0,-0.233289,-0.253668,-0.251279,-0.302545, 
0,-0.236303,-0.258684,-0.253965,-0.307432, 
