-1.000000,0.001459,-0.004298,-0.001091,-0.016844
-1.000000,0.001459,-0.004298,-0.001091,-0.016844
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.550394,-0.701853,-0.307056,-0.383191, 
0,-0.549927,-0.701328,-0.306563,-0.382263, 
0,-0.549963,-0.701598,-0.306796,-0.382326, 
0,-0.550374,-0.702479,-0.307168,-0.382924, 
0,-0.551116,-0.703431,-0.307748,-0.383957, 
0,-0.551533,-0.703903,-0.308219,-0.384894, 
0,-0.551647,-0.703912,-0.308417,-0.384985, 
0,-0.551468,-0.703078,-0.308134,-0.384484, 
0,-0.552744,-0.704307,-0.309436,-0.386755, 
0,-0.553031,-0.703532,-0.309419,-0.386752, 
1,-0.547732,-0.696710,-0.304693,-0.378755,"Baseline"
0,-0.507141,-0.627324,-0.269276,-0.310010, 
0,-0.552535,-0.698383,-0.307982,-0.382768, 
0,-0.457539,-0.547086,-0.226019,-0.227868, 
0,-0.566161,-0.728970,-0.319654,-0.411387, 
0,-0.563782,-0.724395,-0.318930,-0.407245, 
0,-0.602589,-0.790464,-0.353325,-0.475128, 
0,-0.580648,-0.758767,-0.335252,-0.442736, 
0,-0.539194,-0.681491,-0.295562,-0.362236, 
0,-0.635055,-0.841586,-0.378574,-0.523901, 
0,-0.480180,-0.584230,-0.250554,-0.272176, 
0,-0.550899,-0.700914,-0.310745,-0.386801, 
0,-0.540677,-0.684738,-0.301725,-0.369390, 
0,-0.548441,-0.697626,-0.308176,-0.382126, 
0,-0.537581,-0.680462,-0.298989,-0.364442, 
0,-0.546109,-0.695701,-0.307807,-0.380269, 
0,-0.552552,-0.702899,-0.313492,-0.390959, 
0,-0.541819,-0.683036,-0.304129,-0.372909, 
0,-0.555959,-0.705253,-0.315691,-0.395229, 
0,-0.547513,-0.691936,-0.309195,-0.382338, 
0,-0.548005,-0.692674,-0.309646,-0.382667, 
0,-0.548026,-0.692382,-0.309585,-0.382439, 
0,-0.548176,-0.692513,-0.309485,-0.382256, 
0,-0.548251,-0.692402,-0.309681,-0.382370, 
0,-0.548029,-0.692124,-0.309488,-0.381996, 
