-1.000000,-0.000528,-0.003463,-0.002177,-0.001213
-1.000000,-0.000528,-0.003463,-0.002177,-0.001213
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.254083,-0.329862,-1.009738,-0.926520, 
0,-0.254123,-0.330135,-1.010452,-0.927000, 
0,-0.254105,-0.329935,-1.010409,-0.926452, 
0,-0.253232,-0.328479,-1.009720,-0.925094, 
0,-0.253619,-0.329210,-1.009917,-0.925931, 
0,-0.255334,-0.331982,-1.008908,-0.928671, 
0,-0.253410,-0.328932,-0.997386,-0.925841, 
0,-0.250066,-0.323134,-1.010837,-0.920906, 
0,-0.248894,-0.321016,-1.010383,-0.918501, 
0,-0.257982,-0.336239,-1.018343,-0.932803, 
1,-0.257948,-0.336772,-1.012782,-0.933140,""
0,-0.256859,-0.335708,-1.011474,-0.932334, 
0,-0.270832,-0.358978,-1.022640,-0.953861, 
0,-0.256571,-0.333760,-1.009023,-0.929104, 
0,-0.254523,-0.331110,-1.008615,-0.928613, 
0,-0.234378,-0.296160,-1.013869,-0.895635, 
0,-0.243351,-0.307641,-1.100644,-0.908524, 
0,-0.255757,-0.326008,-1.165108,-0.928125, 
0,-0.264809,-0.337467,-1.178615,-0.942673, 
0,-0.262155,-0.331333,-1.321580,-0.943590, 
0,-0.261044,-0.330102,-1.550737,-0.963242, 
0,-0.259406,-0.326814,-1.666637,-0.985129, 
0,-0.260169,-0.327253,-1.745534,-1.005645, 
0,-0.266007,-0.334066,-1.831802,-1.027568, 
0,-0.268373,-0.334195,-1.918725,-1.042419, 
0,-0.271329,-0.336222,-1.982169,-1.056901, 
0,-0.274957,-0.337799,-2.027260,-1.066949, 
0,-0.276638,-0.337089,-2.073365,-1.074103, 
0,-0.279420,-0.338113,-2.116691,-1.082735, 
0,-0.282586,-0.340005,-2.154406,-1.090796, 
0,-0.284697,-0.340614,-2.190547,-1.096375, 
0,-0.285855,-0.340180,-2.211753,-1.101012, 
0,-0.288076,-0.341619,-2.237615,-1.107881, 
0,-0.288330,-0.340469,-2.264080,-1.111951, 
0,-0.289687,-0.341738,-2.286431,-1.116659, 
0,-0.291223,-0.342917,-2.309747,-1.120929, 
0,-0.292394,-0.344271,-2.327705,-1.126289, 
0,-0.290803,-0.340652,-2.343553,-1.126101, 
0,-0.291835,-0.341693,-2.364479,-1.130645, 
0,-0.292713,-0.342889,-2.379131,-1.135233, 
0,-0.293056,-0.343227,-2.388556,-1.137819, 
0,-0.293094,-0.343932,-2.400139,-1.142207, 
0,-0.293076,-0.343543,-2.410156,-1.145330, 
0,-0.293195,-0.343359,-2.419218,-1.147228, 
0,-0.294154,-0.344643,-2.428374,-1.150815, 
0,-0.294538,-0.345188,-2.437117,-1.153964, 
0,-0.295000,-0.345512,-2.444619,-1.156712, 
0,-0.294841,-0.345479,-2.450675,-1.159733, 
0,-0.294760,-0.345265,-2.463096,-1.162320, 
0,-0.294821,-0.345368,-2.471769,-1.163921, 
0,-0.295408,-0.345835,-2.477426,-1.165778, 
0,-0.295531,-0.345964,-2.479577,-1.168069, 
0,-0.295691,-0.346024,-2.484931,-1.169740, 
0,-0.296151,-0.346708,-2.491733,-1.172553, 
0,-0.296082,-0.346730,-2.500117,-1.174088, 
0,-0.296140,-0.346370,-2.502887,-1.175096, 
0,-0.296747,-0.347510,-2.510227,-1.177894, 
0,-0.295426,-0.345411,-2.515566,-1.177638, 
0,-0.296213,-0.346540,-2.520189,-1.180159, 
0,-0.296226,-0.346543,-2.523179,-1.181716, 
0,-0.297188,-0.348033,-2.527565,-1.184645, 
0,-0.296181,-0.346403,-2.527334,-1.185346, 
0,-0.297010,-0.348017,-2.532670,-1.188457, 
0,-0.296358,-0.346711,-2.535731,-1.187899, 
0,-0.296036,-0.346287,-2.538559,-1.188889, 
0,-0.295845,-0.345862,-2.541193,-1.189805, 
0,-0.305048,-0.361186,-2.549887,-1.205215, 
0,-0.295990,-0.345912,-2.542989,-1.191342, 
0,-0.297942,-0.349042,-2.543103,-1.195423, 
0,-0.295057,-0.344559,-2.545753,-1.192458, 
0,-0.296182,-0.346493,-2.546953,-1.195204, 
0,-0.296148,-0.346392,-2.550602,-1.196845, 
0,-0.295907,-0.346075,-2.551151,-1.197996, 
0,-0.295931,-0.346387,-2.552958,-1.199687, 
0,-0.296148,-0.346579,-2.556137,-1.201716, 
0,-0.296611,-0.347137,-2.554039,-1.202818, 
0,-0.296755,-0.347145,-2.552943,-1.203032, 
0,-0.296930,-0.347370,-2.555306,-1.204100, 
0,-0.296906,-0.347337,-2.557801,-1.205545, 
0,-0.295932,-0.346301,-2.562519,-1.206489, 
0,-0.296299,-0.346644,-2.564890,-1.206824, 
0,-0.296617,-0.347095,-2.567688,-1.207355, 
0,-0.296323,-0.346706,-2.563226,-1.207839, 
0,-0.296429,-0.346862,-2.561318,-1.209042, 
0,-0.296868,-0.347317,-2.563859,-1.209907, 
0,-0.296890,-0.347128,-2.565210,-1.210908, 
0,-0.296912,-0.347286,-2.566405,-1.212675, 
0,-0.296887,-0.347062,-2.568211,-1.213004, 
0,-0.296898,-0.347110,-2.570310,-1.213706, 
0,-0.296732,-0.346947,-2.572104,-1.214136, 
0,-0.296945,-0.347284,-2.571782,-1.214863, 
0,-0.296849,-0.347173,-2.570876,-1.216420, 
0,-0.296854,-0.347027,-2.572141,-1.216945, 
0,-0.297188,-0.347540,-2.571548,-1.217907, 
