-1.000000,0.001154,-0.003838,0.001730,-0.005765
-1.000000,0.001154,-0.003838,0.001730,-0.005765
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.393499,-0.534953,-0.462766,-0.310043, 
0,-0.392697,-0.533930,-0.462356,-0.308714, 
0,-0.391665,-0.532408,-0.461515,-0.306768, 
0,-0.393624,-0.535903,-0.463281,-0.310094, 
0,-0.393800,-0.536252,-0.464021,-0.310286, 
0,-0.394736,-0.537390,-0.464714,-0.310586, 
0,-0.394868,-0.537518,-0.464685,-0.310420, 
0,-0.394632,-0.537364,-0.464910,-0.309878, 
0,-0.393770,-0.535940,-0.464105,-0.308638, 
0,-0.393420,-0.535203,-0.463617,-0.307866, 
1,-0.378234,-0.510625,-0.449922,-0.286578,""
0,-0.367352,-0.491338,-0.440038,-0.268108, 
0,-0.362115,-0.483726,-0.435121,-0.259577, 
0,-0.407659,-0.561734,-0.475421,-0.335327, 
0,-0.400881,-0.546785,-0.468481,-0.321369, 
0,-0.397307,-0.540599,-0.465080,-0.314141, 
0,-0.396866,-0.539182,-0.464955,-0.312116, 
0,-0.408640,-0.562034,-0.476360,-0.336191, 
0,-0.409677,-0.558830,-0.475844,-0.332120, 
0,-0.372293,-0.493521,-0.440826,-0.267810, 
0,-0.416239,-0.566557,-0.478973,-0.339062, 
0,-0.404022,-0.544393,-0.471761,-0.321353, 
0,-0.403927,-0.541412,-0.475337,-0.320565, 
0,-0.394658,-0.523640,-0.469406,-0.304077, 
0,-0.410410,-0.550870,-0.482586,-0.329671, 
0,-0.398057,-0.528794,-0.470892,-0.308241, 
0,-0.415128,-0.555282,-0.485950,-0.333059, 
0,-0.411448,-0.547675,-0.483547,-0.326628, 
0,-0.414975,-0.552651,-0.486421,-0.331567, 
0,-0.414857,-0.551606,-0.485744,-0.330696, 
0,-0.408867,-0.540794,-0.480457,-0.319849, 
0,-0.405353,-0.534928,-0.477449,-0.314136, 
0,-0.405903,-0.534981,-0.479571,-0.314257, 
0,-0.406854,-0.535676,-0.479613,-0.314712, 
0,-0.407039,-0.535182,-0.478697,-0.314239, 
0,-0.395977,-0.516302,-0.467956,-0.295260, 
0,-0.404262,-0.528950,-0.474454,-0.307580, 
0,-0.410565,-0.538186,-0.479385,-0.317160, 
0,-0.429847,-0.567020,-0.494905,-0.344813, 
0,-0.450273,-0.596642,-0.511955,-0.375167, 
0,-0.389491,-0.500007,-0.460114,-0.281535, 
0,-0.423627,-0.555923,-0.489837,-0.334763, 
0,-0.409880,-0.534446,-0.478276,-0.314078, 
0,-0.406986,-0.530893,-0.476216,-0.310757, 
0,-0.408822,-0.534113,-0.477886,-0.313708, 
0,-0.409165,-0.534683,-0.478306,-0.314259, 
0,-0.409504,-0.535279,-0.478506,-0.314673, 
0,-0.409307,-0.535019,-0.478418,-0.314408, 
0,-0.408885,-0.534126,-0.478097,-0.313794, 
0,-0.409544,-0.535182,-0.478865,-0.314818, 
0,-0.409637,-0.535549,-0.479111,-0.315194, 
0,-0.409366,-0.535234,-0.478851,-0.314907, 
0,-0.408368,-0.533863,-0.478158,-0.313544, 
0,-0.408275,-0.533779,-0.477921,-0.313362, 
0,-0.408472,-0.534363,-0.477905,-0.313626, 
0,-0.408633,-0.534605,-0.477999,-0.314066, 
0,-0.409749,-0.536427,-0.478213,-0.315359, 
0,-0.407824,-0.533316,-0.476877,-0.312564, 
0,-0.407337,-0.532236,-0.476730,-0.312006, 
0,-0.408440,-0.534255,-0.477800,-0.314204, 
0,-0.411753,-0.539591,-0.480894,-0.319460, 
0,-0.407619,-0.533100,-0.477291,-0.313361, 
0,-0.408085,-0.533938,-0.477808,-0.314132, 
0,-0.407826,-0.533247,-0.477511,-0.313456, 
0,-0.407022,-0.531475,-0.476808,-0.311591, 
0,-0.407283,-0.531636,-0.476788,-0.311851, 
0,-0.407880,-0.532426,-0.477065,-0.312495, 
0,-0.408051,-0.532775,-0.477390,-0.313114, 
0,-0.407454,-0.531904,-0.477087,-0.312727, 
0,-0.407767,-0.532332,-0.477241,-0.313110, 
0,-0.406035,-0.529518,-0.475596,-0.310225, 
0,-0.407027,-0.531179,-0.476635,-0.311903, 
0,-0.407625,-0.532310,-0.477354,-0.313268, 
0,-0.407611,-0.532227,-0.477329,-0.313380, 
0,-0.407090,-0.531321,-0.476689,-0.312457, 
0,-0.404641,-0.527333,-0.474618,-0.308755, 
0,-0.387590,-0.500703,-0.459976,-0.282681, 
0,-0.391257,-0.506485,-0.462858,-0.287571, 
0,-0.413254,-0.541977,-0.481672,-0.322231, 
0,-0.412845,-0.541123,-0.481332,-0.321843, 
0,-0.394582,-0.511136,-0.465650,-0.292105, 
0,-0.398864,-0.518183,-0.469471,-0.298782, 
0,-0.410422,-0.536776,-0.479498,-0.316955, 
0,-0.411210,-0.537843,-0.480201,-0.318765, 
0,-0.405846,-0.529102,-0.475748,-0.310768, 
0,-0.405393,-0.528502,-0.475307,-0.310204, 
0,-0.404421,-0.526900,-0.474544,-0.308792, 
0,-0.405662,-0.528849,-0.475663,-0.310929, 
0,-0.405657,-0.528821,-0.475647,-0.310884, 
0,-0.406169,-0.529550,-0.476079,-0.311357, 
0,-0.405154,-0.527973,-0.474925,-0.308745, 
0,-0.404848,-0.527581,-0.474550,-0.307625, 
0,-0.404983,-0.527938,-0.474912,-0.307587, 
0,-0.404863,-0.527535,-0.474920,-0.306765, 
0,-0.404608,-0.527146,-0.474811,-0.306234, 
0,-0.404192,-0.526381,-0.474435,-0.305184, 
0,-0.404278,-0.526423,-0.474464,-0.304745, 
0,-0.404193,-0.526669,-0.474606,-0.304976, 
0,-0.403662,-0.526196,-0.474337,-0.304308, 
0,-0.403619,-0.525787,-0.474116,-0.303554, 
0,-0.403320,-0.525163,-0.473936,-0.303724, 
0,-0.403034,-0.524640,-0.473505,-0.303850, 
0,-0.403415,-0.525161,-0.473364,-0.304331, 
0,-0.402966,-0.524413,-0.473002,-0.304102, 
0,-0.402974,-0.524427,-0.473248,-0.304143, 
0,-0.403014,-0.524323,-0.473192,-0.303700, 
0,-0.402813,-0.524037,-0.472956,-0.302989, 
0,-0.402783,-0.524038,-0.472789,-0.302512, 
0,-0.402312,-0.523242,-0.472417,-0.301825, 
0,-0.402087,-0.522900,-0.472474,-0.301538, 
0,-0.401444,-0.521832,-0.471916,-0.300426, 
0,-0.397724,-0.515637,-0.468434,-0.293876, 
0,-0.395240,-0.511638,-0.466193,-0.290051, 
0,-0.400407,-0.520021,-0.470701,-0.299259, 
0,-0.404337,-0.526392,-0.474033,-0.305785, 
0,-0.409396,-0.534223,-0.478158,-0.313345, 
0,-0.397329,-0.514114,-0.467905,-0.294197, 
0,-0.402221,-0.522255,-0.472081,-0.301959, 
0,-0.403166,-0.523669,-0.472295,-0.303204, 
0,-0.402352,-0.522328,-0.471724,-0.302125, 
0,-0.402128,-0.521961,-0.471313,-0.301546, 
0,-0.395365,-0.510793,-0.465678,-0.290520, 
2,-0.397684,-0.514936,-0.467831,-0.294216,""
0,-0.410543,-0.536306,-0.478864,-0.314298, 
0,-0.406732,-0.529713,-0.475806,-0.307943, 
0,-0.402904,-0.522424,-0.472442,-0.300863, 
0,-0.400397,-0.519678,-0.470234,-0.297851, 
0,-0.403771,-0.525346,-0.473081,-0.303802, 
0,-0.401800,-0.520413,-0.470729,-0.299068, 
0,-0.400927,-0.513565,-0.467096,-0.293312, 
0,-0.394962,-0.512578,-0.465849,-0.291778, 
0,-0.380238,-0.486054,-0.452777,-0.266597, 
0,-0.406167,-0.526189,-0.472235,-0.306900, 
0,-0.399472,-0.520179,-0.468334,-0.301075, 
0,-0.401632,-0.523724,-0.469489,-0.304857, 
0,-0.404746,-0.528468,-0.472110,-0.312285, 
0,-0.410691,-0.537989,-0.476524,-0.326312, 
0,-0.418435,-0.550217,-0.483298,-0.341961, 
0,-0.407982,-0.533971,-0.474180,-0.328280, 
0,-0.391991,-0.509894,-0.460545,-0.305482, 
0,-0.396736,-0.518421,-0.464321,-0.313460, 
0,-0.399981,-0.524602,-0.467295,-0.320395, 
0,-0.401212,-0.527218,-0.468009,-0.324453, 
0,-0.401996,-0.528837,-0.468508,-0.327554, 
0,-0.402020,-0.529547,-0.468505,-0.329014, 
0,-0.401872,-0.530163,-0.468424,-0.329103, 
0,-0.401876,-0.530752,-0.468246,-0.329771, 
0,-0.402099,-0.531623,-0.468355,-0.331211, 
0,-0.402233,-0.532611,-0.468335,-0.332710, 
0,-0.401928,-0.532833,-0.468087,-0.333713, 
0,-0.401864,-0.533161,-0.468055,-0.334592, 
0,-0.402150,-0.534110,-0.467717,-0.335854, 
0,-0.402085,-0.534705,-0.467530,-0.337277, 
0,-0.401995,-0.535291,-0.467568,-0.337881, 
0,-0.402398,-0.536540,-0.468237,-0.339149, 
0,-0.401483,-0.535915,-0.467444,-0.339438, 
0,-0.401719,-0.536988,-0.467516,-0.341442, 
0,-0.401342,-0.537223,-0.467208,-0.341801, 
0,-0.401557,-0.538303,-0.467374,-0.344102, 
0,-0.401218,-0.538379,-0.466832,-0.344791, 
0,-0.401167,-0.539106,-0.466939,-0.344851, 
0,-0.401338,-0.539607,-0.466920,-0.345146, 
0,-0.401481,-0.540297,-0.466807,-0.346373, 
0,-0.401226,-0.540185,-0.466717,-0.347089, 
0,-0.400441,-0.539830,-0.466333,-0.345512, 
0,-0.400552,-0.541516,-0.466963,-0.346998, 
0,-0.402337,-0.544423,-0.468204,-0.352004, 
0,-0.402018,-0.543702,-0.467855,-0.351646, 
0,-0.401867,-0.543487,-0.467863,-0.350835, 
0,-0.396355,-0.534976,-0.463101,-0.342493, 
0,-0.401902,-0.544045,-0.467573,-0.351791, 
0,-0.400699,-0.542163,-0.466500,-0.350231, 
0,-0.399223,-0.540304,-0.465446,-0.348136, 
0,-0.401358,-0.543895,-0.467296,-0.351171, 
0,-0.403307,-0.547314,-0.468934,-0.354632, 
0,-0.400195,-0.542494,-0.465943,-0.351015, 
0,-0.400691,-0.543828,-0.466167,-0.354560, 
0,-0.400332,-0.543848,-0.465686,-0.356470, 
0,-0.401366,-0.546267,-0.466897,-0.357576, 
0,-0.403613,-0.550343,-0.469024,-0.360722, 
0,-0.414435,-0.567527,-0.477491,-0.377761, 
0,-0.408650,-0.558537,-0.472571,-0.370484, 
0,-0.372193,-0.500240,-0.441518,-0.311848, 
0,-0.395400,-0.539051,-0.461409,-0.349285, 
0,-0.399600,-0.546122,-0.464989,-0.355914, 
0,-0.398744,-0.544707,-0.464027,-0.355812, 
0,-0.404524,-0.554158,-0.469154,-0.365094, 
0,-0.399864,-0.547299,-0.465428,-0.357632, 
0,-0.398817,-0.546110,-0.464398,-0.356032, 
0,-0.398961,-0.546349,-0.464469,-0.356616, 
0,-0.399328,-0.547016,-0.464844,-0.355802, 
0,-0.399270,-0.547059,-0.464862,-0.356980, 
0,-0.399050,-0.547125,-0.464862,-0.357319, 
0,-0.399121,-0.547378,-0.464982,-0.358103, 
0,-0.399170,-0.547530,-0.464936,-0.358202, 
0,-0.399171,-0.547763,-0.464855,-0.358578, 
0,-0.399002,-0.548353,-0.464791,-0.360150, 
0,-0.398538,-0.548373,-0.464450,-0.359650, 
0,-0.398976,-0.549545,-0.464635,-0.361109, 
0,-0.398747,-0.549015,-0.464470,-0.362613, 
0,-0.398909,-0.549648,-0.464849,-0.362863, 
0,-0.403477,-0.557021,-0.468719,-0.370259, 
0,-0.392803,-0.539940,-0.459229,-0.354224, 
0,-0.402777,-0.556631,-0.467802,-0.370437, 
0,-0.395710,-0.544995,-0.461807,-0.359449, 
0,-0.402089,-0.555884,-0.467248,-0.369768, 
0,-0.392685,-0.541395,-0.459440,-0.352919, 
0,-0.401917,-0.557073,-0.467588,-0.366107, 
0,-0.411713,-0.573191,-0.476057,-0.381681, 
0,-0.410321,-0.570651,-0.474760,-0.379546, 
0,-0.378028,-0.517312,-0.446626,-0.328270, 
0,-0.395982,-0.547359,-0.462095,-0.357690, 
