-1.000000,0.000115,-0.009995,-0.000286,-0.008738
-1.000000,0.000115,-0.009995,-0.000286,-0.008738
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.354801,-1.036964,-0.228629,-0.289552, 
0,-0.355048,-1.037299,-0.228211,-0.288997, 
0,-0.354921,-1.033171,-0.227718,-0.289287, 
0,-0.355562,-1.031116,-0.228962,-0.291673, 
0,-0.355825,-1.032088,-0.229445,-0.292653, 
0,-0.356165,-1.030914,-0.229565,-0.292659, 
0,-0.355235,-1.028945,-0.228230,-0.290324, 
0,-0.356128,-1.028494,-0.228952,-0.292742, 
0,-0.358034,-1.027752,-0.230543,-0.296611, 
0,-0.363516,-1.031578,-0.235237,-0.305244, 
1,-0.369562,-1.060564,-0.242070,-0.312555,"Baseline"
0,-0.331996,-1.000606,-0.207509,-0.249693, 
0,-0.372620,-1.064891,-0.245403,-0.313501, 
0,-0.364415,-1.058066,-0.238007,-0.305830, 
0,-0.358809,-1.043796,-0.233991,-0.299654, 
0,-0.345613,-1.018107,-0.220779,-0.278219, 
0,-0.304588,-0.949427,-0.183226,-0.208475, 
0,-0.384375,-1.082253,-0.255334,-0.335526, 
0,-0.350415,-1.025584,-0.218721,-0.271729, 
0,-0.374133,-1.060643,-0.237466,-0.302772, 
0,-0.376390,-1.057025,-0.233231,-0.296531, 
0,-0.361090,-1.026225,-0.214902,-0.263935, 
0,-0.385626,-1.062199,-0.233899,-0.296262, 
0,-0.392424,-1.067972,-0.237470,-0.301640, 
0,-0.388186,-1.060348,-0.229323,-0.288744, 
0,-0.390236,-1.059569,-0.227808,-0.286287, 
0,-0.391604,-1.061862,-0.229162,-0.287078, 
0,-0.392555,-1.061657,-0.228102,-0.284341, 
0,-0.396530,-1.066653,-0.231259,-0.289210, 
0,-0.386017,-1.051397,-0.220472,-0.270173, 
0,-0.371388,-1.029835,-0.206806,-0.246133, 
0,-0.402834,-1.081797,-0.235056,-0.295398, 
0,-0.354742,-1.009032,-0.189723,-0.219130, 
0,-0.446806,-1.148963,-0.275218,-0.360645, 
0,-0.414566,-1.101245,-0.245127,-0.309998, 
0,-0.410446,-1.095600,-0.240772,-0.304284, 
0,-0.383482,-1.055974,-0.214755,-0.262235, 
0,-0.400208,-1.079976,-0.231480,-0.288874, 
0,-0.349851,-1.004959,-0.183190,-0.210046, 
0,-0.311603,-0.951040,-0.148006,-0.150072, 
0,-0.469102,-1.186068,-0.295113,-0.389016, 
0,-0.456151,-1.172969,-0.281762,-0.374749, 
0,-0.405796,-1.092688,-0.234937,-0.295690, 
0,-0.415590,-1.105682,-0.243872,-0.309602, 
0,-0.405577,-1.090126,-0.234340,-0.293229, 
0,-0.402431,-1.089490,-0.231595,-0.288113, 
0,-0.397904,-1.085440,-0.226224,-0.279980, 
0,-0.396328,-1.083017,-0.224560,-0.276249, 
0,-0.398468,-1.087294,-0.227216,-0.279797, 
0,-0.391484,-1.078001,-0.220515,-0.268511, 
0,-0.388715,-1.075894,-0.217707,-0.264874, 
0,-0.429529,-1.138075,-0.255836,-0.327558, 
0,-0.432290,-1.140642,-0.258038,-0.330648, 
0,-0.401133,-1.092963,-0.229176,-0.282411, 
0,-0.394121,-1.083392,-0.222607,-0.270854, 
0,-0.406383,-1.104919,-0.234650,-0.291318, 
0,-0.403432,-1.099683,-0.231158,-0.286559, 
0,-0.404152,-1.089800,-0.231698,-0.286118, 
0,-0.403243,-1.088772,-0.229862,-0.282956, 
0,-0.402675,-1.091946,-0.230407,-0.283393, 
0,-0.403138,-1.095406,-0.231242,-0.285385, 
0,-0.402009,-1.096954,-0.230969,-0.285718, 
0,-0.403050,-1.100868,-0.231356,-0.286671, 
0,-0.403089,-1.102206,-0.230895,-0.286147, 
0,-0.403057,-1.104745,-0.230900,-0.285058, 
0,-0.403659,-1.107236,-0.231429,-0.286060, 
0,-0.403337,-1.107672,-0.230865,-0.286106, 
0,-0.403242,-1.107212,-0.230676,-0.286351, 
0,-0.403075,-1.107828,-0.230538,-0.286938, 
0,-0.403792,-1.109451,-0.231528,-0.288480, 
0,-0.403132,-1.116394,-0.231056,-0.287618, 
0,-0.402738,-1.114117,-0.231115,-0.287334, 
0,-0.402416,-1.114228,-0.230437,-0.286138, 
0,-0.402368,-1.110648,-0.230641,-0.285884, 
0,-0.401750,-1.108460,-0.231143,-0.286458, 
0,-0.402430,-1.109592,-0.230954,-0.286572, 
0,-0.402896,-1.110738,-0.231512,-0.288192, 
0,-0.403872,-1.113164,-0.231967,-0.289488, 
0,-0.403212,-1.113771,-0.231253,-0.287541, 
0,-0.402017,-1.114239,-0.230287,-0.285188, 
0,-0.418016,-1.140251,-0.245254,-0.311355, 
0,-0.407809,-1.123916,-0.236277,-0.295804, 
0,-0.362858,-1.052977,-0.193360,-0.223245, 
0,-0.423198,-1.149868,-0.249711,-0.320064, 
0,-0.400149,-1.116056,-0.228477,-0.283566, 
0,-0.398794,-1.114657,-0.227341,-0.282401, 
0,-0.412739,-1.135591,-0.240439,-0.304281, 
0,-0.401567,-1.117679,-0.230107,-0.285938, 
0,-0.400110,-1.120444,-0.228678,-0.283171, 
0,-0.401041,-1.129509,-0.229778,-0.284906, 
0,-0.395254,-1.112119,-0.223564,-0.274748, 
0,-0.406806,-1.128702,-0.234781,-0.293278, 
0,-0.395450,-1.107962,-0.224748,-0.275670, 
0,-0.405663,-1.122764,-0.233980,-0.291696, 
0,-0.401511,-1.116090,-0.229603,-0.285730, 
0,-0.401607,-1.117629,-0.230599,-0.287848, 
0,-0.400953,-1.117177,-0.228997,-0.286476, 
0,-0.400996,-1.118097,-0.229576,-0.287013, 
0,-0.401573,-1.119589,-0.230371,-0.288517, 
0,-0.400854,-1.119478,-0.229941,-0.287649, 
0,-0.400555,-1.119981,-0.229765,-0.287521, 
0,-0.399973,-1.119106,-0.228576,-0.285095, 
0,-0.400252,-1.120631,-0.229284,-0.287154, 
0,-0.400516,-1.121028,-0.229648,-0.287785, 
0,-0.399797,-1.120586,-0.228884,-0.286929, 
0,-0.399980,-1.119969,-0.229433,-0.287251, 
0,-0.399565,-1.119118,-0.229437,-0.287491, 
0,-0.400001,-1.117707,-0.229047,-0.288013, 
0,-0.400099,-1.118092,-0.229589,-0.288263, 
0,-0.400289,-1.118477,-0.229585,-0.288034, 
0,-0.399756,-1.116042,-0.229331,-0.287318, 
0,-0.399567,-1.115806,-0.229503,-0.287608, 
0,-0.398821,-1.116342,-0.228960,-0.286916, 
0,-0.399803,-1.118087,-0.229161,-0.286463, 
0,-0.399362,-1.119273,-0.228920,-0.287042, 
0,-0.399758,-1.120510,-0.229248,-0.287171, 
0,-0.399268,-1.119420,-0.228768,-0.285323, 
0,-0.399552,-1.119434,-0.228551,-0.285380, 
0,-0.393929,-1.109976,-0.223200,-0.275180, 
0,-0.395152,-1.110729,-0.224643,-0.275826, 
0,-0.402427,-1.122354,-0.230991,-0.287687, 
0,-0.398439,-1.117214,-0.227308,-0.282473, 
0,-0.395528,-1.115659,-0.224609,-0.277913, 
0,-0.407363,-1.142563,-0.236603,-0.298851, 
0,-0.398707,-1.125134,-0.228958,-0.284903, 
