-1.000000,-0.003357,-0.011347,-0.000499,-0.019959
-1.000000,-0.003357,-0.011347,-0.000499,-0.019959
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.379356,-0.365133,-0.323821,-0.609579, 
0,-0.379423,-0.365315,-0.324307,-0.609789, 
0,-0.379425,-0.365335,-0.324773,-0.609316, 
0,-0.378877,-0.364682,-0.324705,-0.609527, 
0,-0.380233,-0.366619,-0.325506,-0.611562, 
0,-0.376775,-0.360605,-0.321928,-0.606186, 
0,-0.388216,-0.378495,-0.332030,-0.623489, 
0,-0.382060,-0.368516,-0.326404,-0.613851, 
0,-0.375145,-0.357530,-0.320333,-0.603985, 
0,-0.382270,-0.368425,-0.326128,-0.613674, 
1,-0.387369,-0.378222,-0.331447,-0.622705,"Baseline"
0,-0.358544,-0.331858,-0.304765,-0.574950, 
0,-0.392621,-0.384929,-0.336393,-0.624913, 
0,-0.382890,-0.369704,-0.327907,-0.609504, 
0,-0.376689,-0.364522,-0.323687,-0.604687, 
0,-0.369072,-0.350260,-0.315906,-0.592112, 
0,-0.381880,-0.369950,-0.328477,-0.613047, 
0,-0.369275,-0.349531,-0.315002,-0.595905, 
0,-0.387537,-0.377980,-0.331445,-0.621158, 
0,-0.378855,-0.363822,-0.322685,-0.606132, 
0,-0.377785,-0.362067,-0.321934,-0.603657, 
0,-0.375069,-0.357640,-0.320327,-0.599678, 
0,-0.382497,-0.367175,-0.325374,-0.607791, 
0,-0.379893,-0.362498,-0.321999,-0.602751, 
0,-0.379333,-0.362335,-0.322849,-0.604295, 
0,-0.379627,-0.361139,-0.321825,-0.603812, 
0,-0.381446,-0.362460,-0.321966,-0.604429, 
0,-0.382412,-0.362957,-0.322293,-0.605309, 
0,-0.382465,-0.362646,-0.322419,-0.604951, 
0,-0.382635,-0.362495,-0.322525,-0.604132, 
0,-0.382706,-0.362205,-0.322233,-0.604744, 
0,-0.382321,-0.361486,-0.322096,-0.606233, 
0,-0.382957,-0.361750,-0.322052,-0.606980, 
0,-0.383424,-0.361869,-0.321802,-0.606760, 
0,-0.383794,-0.362036,-0.321910,-0.606281, 
0,-0.383476,-0.361624,-0.321792,-0.605695, 
0,-0.383484,-0.361419,-0.321858,-0.604920, 
0,-0.383882,-0.361749,-0.321949,-0.603281, 
0,-0.383599,-0.361500,-0.321911,-0.602893, 
0,-0.383900,-0.361392,-0.321530,-0.603423, 
0,-0.384493,-0.361784,-0.321433,-0.604382, 
0,-0.384623,-0.361901,-0.321842,-0.605226, 
0,-0.384517,-0.361744,-0.321411,-0.606112, 
0,-0.384120,-0.361406,-0.321512,-0.607315, 
0,-0.384496,-0.361450,-0.321358,-0.608037, 
0,-0.385096,-0.361808,-0.321464,-0.608321, 
0,-0.385174,-0.361714,-0.321436,-0.606680, 
0,-0.384661,-0.361091,-0.321459,-0.605794, 
0,-0.385410,-0.361668,-0.321338,-0.606360, 
0,-0.385736,-0.361768,-0.321506,-0.607469, 
0,-0.385262,-0.361386,-0.321290,-0.608245, 
0,-0.385698,-0.361546,-0.321405,-0.609291, 
0,-0.386134,-0.361816,-0.320941,-0.608912, 
0,-0.386362,-0.361983,-0.321183,-0.608862, 
0,-0.386538,-0.362056,-0.321216,-0.608335, 
0,-0.386655,-0.361815,-0.320986,-0.606790, 
0,-0.386092,-0.360897,-0.320350,-0.605909, 
0,-0.388800,-0.364812,-0.322483,-0.609789, 
0,-0.387801,-0.363284,-0.321594,-0.608231, 
0,-0.386465,-0.361546,-0.320954,-0.607484, 
0,-0.386443,-0.361145,-0.320298,-0.607184, 
0,-0.387209,-0.361543,-0.320583,-0.607707, 
0,-0.386632,-0.361089,-0.320753,-0.608006, 
0,-0.386959,-0.361396,-0.320875,-0.608044, 
0,-0.386262,-0.360563,-0.320702,-0.607329, 
0,-0.386559,-0.360676,-0.320267,-0.607114, 
0,-0.387036,-0.360879,-0.320435,-0.608515, 
0,-0.386051,-0.359915,-0.320122,-0.605882, 
0,-0.386283,-0.359883,-0.320148,-0.602860, 
0,-0.386457,-0.359851,-0.319645,-0.601395, 
0,-0.386528,-0.359641,-0.319496,-0.601024, 
0,-0.385987,-0.358802,-0.319780,-0.601112, 
0,-0.386437,-0.359183,-0.319712,-0.601619, 
0,-0.385242,-0.358149,-0.319530,-0.600478, 
0,-0.385273,-0.357703,-0.319454,-0.599286, 
0,-0.385791,-0.358102,-0.319192,-0.600052, 
0,-0.386068,-0.358298,-0.319048,-0.601023, 
0,-0.386305,-0.358283,-0.319126,-0.600770, 
0,-0.387171,-0.359421,-0.319527,-0.602353, 
0,-0.386906,-0.359078,-0.319701,-0.601642, 
0,-0.383566,-0.354146,-0.317024,-0.595244, 
0,-0.387055,-0.360180,-0.320518,-0.600394, 
0,-0.383401,-0.354092,-0.317146,-0.593618, 
0,-0.390043,-0.364116,-0.323137,-0.602121, 
0,-0.384229,-0.354678,-0.317640,-0.593940, 
0,-0.383541,-0.353523,-0.316978,-0.594426, 
0,-0.385790,-0.357180,-0.319036,-0.598668, 
0,-0.386152,-0.357677,-0.319246,-0.599698, 
0,-0.383473,-0.353291,-0.316831,-0.595794, 
0,-0.384559,-0.354926,-0.318147,-0.597936, 
0,-0.384236,-0.354582,-0.317838,-0.596825, 
0,-0.386001,-0.356476,-0.318902,-0.597539, 
0,-0.385266,-0.355879,-0.318632,-0.597377, 
0,-0.385849,-0.356157,-0.318502,-0.594787, 
0,-0.385784,-0.355961,-0.318114,-0.591756, 
0,-0.385941,-0.356186,-0.318469,-0.591182, 
0,-0.384293,-0.354054,-0.317344,-0.589049, 
0,-0.385370,-0.355129,-0.317829,-0.591026, 
0,-0.385450,-0.354979,-0.317652,-0.591185, 
