-1.000000,-0.001356,-0.011269,0.003236,-0.011581
-1.000000,-0.001356,-0.011269,0.003236,-0.011581
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.160986,-0.181251,-0.646662,-0.683700, 
0,-0.165282,-0.188324,-0.651738,-0.690848, 
0,-0.160881,-0.180845,-0.648043,-0.683156, 
0,-0.160856,-0.181000,-0.649032,-0.683328, 
0,-0.158220,-0.176874,-0.647309,-0.678972, 
0,-0.157135,-0.175151,-0.646969,-0.677285, 
0,-0.159525,-0.178983,-0.649720,-0.681605, 
0,-0.159336,-0.178673,-0.649896,-0.680602, 
0,-0.159315,-0.178509,-0.650193,-0.678792, 
0,-0.159771,-0.179004,-0.651312,-0.678641, 
1,-0.154978,-0.172764,-0.639041,-0.674281,"Baseline"
0,-0.169974,-0.195714,-0.652870,-0.696579, 
0,-0.162385,-0.183428,-0.645939,-0.685139, 
0,-0.167893,-0.190035,-0.649868,-0.690814, 
0,-0.161231,-0.181571,-0.644519,-0.682121, 
0,-0.161033,-0.179395,-0.644699,-0.680054, 
0,-0.133439,-0.140443,-0.622024,-0.642858, 
0,-0.156616,-0.174875,-0.645941,-0.677433, 
0,-0.146232,-0.159320,-0.637073,-0.663351, 
0,-0.163920,-0.186936,-0.653098,-0.690096, 
0,-0.151750,-0.167960,-0.642462,-0.671741, 
0,-0.164657,-0.186723,-0.654293,-0.689508, 
0,-0.159991,-0.180895,-0.652975,-0.686075, 
0,-0.158894,-0.179872,-0.652765,-0.685195, 
0,-0.159115,-0.179536,-0.652736,-0.685019, 
0,-0.158945,-0.179255,-0.651935,-0.684656, 
0,-0.158700,-0.179057,-0.651038,-0.684499, 
0,-0.159061,-0.179989,-0.650536,-0.684594, 
0,-0.159591,-0.180608,-0.650479,-0.684498, 
0,-0.160275,-0.181909,-0.650814,-0.684871, 
0,-0.160515,-0.182581,-0.651419,-0.685231, 
0,-0.161106,-0.182967,-0.652841,-0.685887, 
0,-0.159308,-0.181253,-0.651888,-0.684584, 
0,-0.159389,-0.181465,-0.652788,-0.685155, 
0,-0.159803,-0.181971,-0.652962,-0.685013, 
