-1.000000,0.001247,-0.006974,-0.001314,-0.021269
-1.000000,0.001247,-0.006974,-0.001314,-0.021269
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.493179,-1.481100,-0.184604,-1.431697, 
0,-0.492781,-1.490569,-0.167363,-1.424001, 
0,-0.493366,-1.469120,-0.142700,-1.423456, 
0,-0.495103,-1.460196,-0.135523,-1.429447, 
0,-0.495298,-1.463831,-0.128329,-1.431974, 
0,-0.496458,-1.455728,-0.118908,-1.438142, 
0,-0.497628,-1.451669,-0.117747,-1.446429, 
0,-0.498074,-1.480972,-0.126427,-1.453261, 
0,-0.498890,-1.451274,-0.111203,-1.459751, 
0,-0.500329,-1.478079,-0.129404,-1.468215, 
1,-0.493273,-1.424659,-0.124422,-1.427221,"Baseline"
0,-0.488257,-1.419178,-0.118909,-1.414042, 
0,-0.493405,-1.427759,-0.126295,-1.416711, 
0,-0.485995,-1.391509,-0.112420,-1.404876, 
0,-0.486576,-1.393625,-0.122721,-1.398168, 
0,-0.480124,-1.333016,-0.108313,-1.382182, 
0,-0.501026,-1.385572,-0.136016,-1.411119, 
0,-0.501258,-1.418189,-0.163497,-1.407966, 
0,-0.481255,-1.367479,-0.145916,-1.377482, 
0,-0.497822,-1.397612,-0.160531,-1.400542, 
0,-0.485327,-1.403604,-0.163592,-1.384275, 
0,-0.488098,-1.431955,-0.183095,-1.395537, 
0,-0.482083,-1.439351,-0.183878,-1.394478, 
0,-0.485598,-1.470171,-0.192226,-1.407858, 
0,-0.481926,-1.459156,-0.173384,-1.406842, 
0,-0.483466,-1.487141,-0.175081,-1.418024, 
0,-0.481681,-1.500807,-0.183249,-1.426186, 
0,-0.482090,-1.520057,-0.194177,-1.435319, 
0,-0.481684,-1.518701,-0.193625,-1.441908, 
0,-0.481411,-1.495267,-0.172639,-1.447567, 
0,-0.480323,-1.490684,-0.159815,-1.451211, 
0,-0.479653,-1.515721,-0.174708,-1.458126, 
0,-0.478846,-1.520626,-0.192801,-1.467584, 
0,-0.478221,-1.510022,-0.204755,-1.477908, 
0,-0.481468,-1.496348,-0.214929,-1.492977, 
0,-0.474783,-1.463237,-0.208651,-1.490930, 
0,-0.478735,-1.452443,-0.211082,-1.501786, 
0,-0.471167,-1.424887,-0.202756,-1.493278, 
0,-0.480748,-1.430313,-0.214449,-1.511171, 
0,-0.473434,-1.405949,-0.214546,-1.505197, 
0,-0.478206,-1.387141,-0.217398,-1.511952, 
0,-0.471194,-1.361987,-0.214089,-1.507300, 
0,-0.485696,-1.367842,-0.228047,-1.533807, 
0,-0.471447,-1.335294,-0.220683,-1.519043, 
0,-0.477916,-1.309629,-0.217575,-1.533624, 
0,-0.474803,-1.285838,-0.199397,-1.529511, 
0,-0.474050,-1.280023,-0.192359,-1.528204, 
0,-0.474963,-1.277390,-0.195722,-1.530341, 
0,-0.472413,-1.193806,-0.147298,-1.519097, 
0,-0.472333,-1.227067,-0.148779,-1.508411, 
0,-0.471615,-1.269556,-0.175389,-1.502172, 
0,-0.471234,-1.277822,-0.182636,-1.496157, 
0,-0.470390,-1.246850,-0.162854,-1.487457, 
0,-0.469987,-1.251278,-0.157255,-1.480629, 
0,-0.469553,-1.270590,-0.165314,-1.478228, 
0,-0.468490,-1.291702,-0.174821,-1.478488, 
0,-0.467325,-1.294106,-0.173905,-1.476564, 
0,-0.466699,-1.289799,-0.163682,-1.470620, 
0,-0.466680,-1.302920,-0.165856,-1.465034, 
0,-0.466126,-1.313021,-0.172710,-1.461333, 
0,-0.465712,-1.306430,-0.165596,-1.459397, 
0,-0.465300,-1.332283,-0.177073,-1.460235, 
0,-0.463858,-1.260609,-0.142779,-1.455539, 
0,-0.462702,-1.270139,-0.144163,-1.448658, 
0,-0.461648,-1.229389,-0.132789,-1.442210, 
0,-0.460881,-1.198410,-0.120120,-1.435025, 
0,-0.459923,-1.215810,-0.131032,-1.430500, 
0,-0.459436,-1.250969,-0.149904,-1.429690, 
