-1.000000,-0.000028,-0.005116,0.000270,-0.000153
-1.000000,-0.000028,-0.005116,0.000270,-0.000153
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.631263,-0.240693,-0.401614,-0.009459, 
0,-0.618308,-0.219521,-0.390294,0.013731, 
0,-0.616585,-0.217329,-0.388117,0.017307, 
0,-0.637324,-0.250012,-0.406766,-0.018996, 
0,-0.632550,-0.242253,-0.402143,-0.009814, 
0,-0.626348,-0.232122,-0.396401,0.001489, 
0,-0.629642,-0.237416,-0.399588,-0.004420, 
0,-0.628364,-0.235210,-0.398051,-0.001351, 
0,-0.628710,-0.235617,-0.398427,-0.001793, 
0,-0.628503,-0.235325,-0.398524,-0.001757, 
1,-0.657728,-0.284431,-0.426487,-0.058735,"Baseline"
0,-0.577630,-0.154150,-0.354003,0.085623, 
0,-0.606881,-0.202709,-0.380368,0.031731, 
0,-0.614070,-0.217804,-0.386586,0.016107, 
0,-0.622761,-0.229586,-0.394526,0.002290, 
0,-0.622039,-0.227038,-0.395378,0.000047, 
0,-0.636449,-0.245089,-0.405004,-0.015740, 
0,-0.712717,-0.369128,-0.473323,-0.149068, 
0,-0.601906,-0.187237,-0.374921,0.051077, 
0,-0.622538,-0.220741,-0.392631,0.012201, 
0,-0.636535,-0.243869,-0.407698,-0.012942, 
0,-0.624137,-0.224284,-0.397732,0.008732, 
0,-0.630872,-0.233819,-0.402804,-0.001479, 
0,-0.632334,-0.235555,-0.402746,-0.003753, 
0,-0.630772,-0.232299,-0.400865,0.000054, 
0,-0.630238,-0.230747,-0.400618,0.000949, 
0,-0.631446,-0.232266,-0.401088,-0.000077, 
0,-0.632219,-0.233195,-0.401889,-0.001387, 
0,-0.632583,-0.233525,-0.401906,-0.001673, 
0,-0.634627,-0.236272,-0.403361,-0.004385, 
0,-0.634356,-0.235499,-0.403088,-0.003790, 
0,-0.630335,-0.228642,-0.399158,0.003762, 
0,-0.636900,-0.238706,-0.405310,-0.008467, 
0,-0.630199,-0.227682,-0.398784,0.003840, 
0,-0.638331,-0.240148,-0.405932,-0.010227, 
0,-0.625400,-0.219249,-0.393550,0.013210, 
0,-0.632720,-0.230365,-0.400164,0.000315, 
0,-0.633758,-0.232133,-0.401487,-0.002461, 
0,-0.635002,-0.233659,-0.402572,-0.004390, 
0,-0.633633,-0.230985,-0.400655,-0.000547, 
0,-0.634335,-0.232115,-0.401579,-0.002074, 
0,-0.635542,-0.233566,-0.401829,-0.002696, 
0,-0.635186,-0.232786,-0.401464,-0.001648, 
0,-0.641656,-0.242782,-0.407366,-0.013106, 
0,-0.628602,-0.221795,-0.395471,0.009973, 
0,-0.640078,-0.239354,-0.405537,-0.009467, 
0,-0.641240,-0.241040,-0.406721,-0.011221, 
0,-0.636508,-0.233317,-0.402243,-0.002865, 
0,-0.634838,-0.230631,-0.400846,-0.000029, 
0,-0.637745,-0.234760,-0.403283,-0.004920, 
0,-0.623419,-0.212446,-0.389729,0.020816, 
0,-0.640281,-0.238407,-0.405502,-0.009656, 
0,-0.635413,-0.230583,-0.400923,-0.001379, 
0,-0.637571,-0.234059,-0.402622,-0.004768, 
0,-0.636050,-0.231666,-0.400996,-0.001769, 
0,-0.636117,-0.231683,-0.400859,-0.001644, 
0,-0.635438,-0.231075,-0.401011,-0.001969, 
0,-0.635946,-0.231501,-0.400696,-0.001867, 
0,-0.635646,-0.230941,-0.400665,-0.001871, 
0,-0.636016,-0.231171,-0.400696,-0.001804, 
0,-0.635343,-0.230539,-0.400719,-0.001748, 
0,-0.634996,-0.230085,-0.400463,-0.001830, 
0,-0.635245,-0.230100,-0.400405,-0.001808, 
0,-0.635450,-0.230490,-0.400327,-0.001815, 
0,-0.635270,-0.230369,-0.400262,-0.001838, 
0,-0.635016,-0.230077,-0.400194,-0.001845, 
0,-0.635042,-0.230024,-0.400145,-0.001814, 
0,-0.635212,-0.230195,-0.400077,-0.001783, 
0,-0.635384,-0.230544,-0.400056,-0.001782, 
0,-0.635449,-0.230643,-0.399871,-0.001812, 
0,-0.635579,-0.230606,-0.399713,-0.001550, 
0,-0.634856,-0.229846,-0.399604,-0.001452, 
0,-0.634805,-0.229689,-0.399691,-0.001712, 
0,-0.634303,-0.228844,-0.398829,-0.000209, 
0,-0.630333,-0.222907,-0.395317,0.006501, 
0,-0.632734,-0.226626,-0.397609,0.002173, 
0,-0.629357,-0.221578,-0.394838,0.007063, 
0,-0.643963,-0.243361,-0.407897,-0.017613, 
0,-0.629370,-0.221065,-0.394183,0.008111, 
0,-0.633489,-0.227185,-0.397839,0.001377, 
0,-0.649283,-0.253051,-0.412260,-0.027708, 
0,-0.632111,-0.225839,-0.396411,0.003136, 
0,-0.628534,-0.219683,-0.393670,0.008770, 
0,-0.620737,-0.206721,-0.385944,0.023827, 
0,-0.635024,-0.230335,-0.399271,-0.003260, 
0,-0.633671,-0.228020,-0.397816,-0.000377, 
0,-0.635246,-0.230561,-0.399044,-0.002869, 
0,-0.634463,-0.229655,-0.398304,-0.001522, 
0,-0.635316,-0.231170,-0.398965,-0.003039, 
0,-0.634485,-0.229873,-0.398336,-0.002347, 
0,-0.635241,-0.231329,-0.399165,-0.004101, 
0,-0.634518,-0.230105,-0.398418,-0.002687, 
0,-0.630660,-0.223812,-0.394720,0.004584, 
0,-0.634504,-0.230035,-0.398453,-0.002881, 
0,-0.634239,-0.229839,-0.398480,-0.003113, 
0,-0.633930,-0.229332,-0.398026,-0.002412, 
0,-0.633575,-0.228982,-0.397851,-0.002182, 
0,-0.632699,-0.227714,-0.397212,-0.001271, 
0,-0.632878,-0.228102,-0.397482,-0.001915, 
0,-0.633104,-0.228807,-0.397929,-0.002683, 
0,-0.631954,-0.226983,-0.397555,-0.001988, 
0,-0.632124,-0.227106,-0.397221,-0.001539, 
0,-0.632561,-0.227932,-0.397555,-0.002350, 
