-1.000000,-0.000217,-0.008503,-0.000009,-0.005634
-1.000000,-0.000217,-0.008503,-0.000009,-0.005634
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.283747,-0.390383,-0.266328,-0.268505, 
0,-0.284484,-0.391896,-0.266933,-0.269441, 
0,-0.283894,-0.390774,-0.266770,-0.269602, 
0,-0.284068,-0.391017,-0.266405,-0.268771, 
0,-0.283905,-0.391442,-0.267695,-0.270770, 
0,-0.284390,-0.391845,-0.267236,-0.270320, 
0,-0.284026,-0.390372,-0.267545,-0.270562, 
0,-0.296508,-0.411639,-0.278562,-0.289359, 
0,-0.233102,-0.311848,-0.222478,-0.190655, 
0,-0.252973,-0.338654,-0.238443,-0.218877, 
1,-0.287903,-0.397044,-0.270448,-0.275933,"Baseline"
0,-0.263845,-0.357348,-0.248630,-0.237476, 
0,-0.098393,-0.113898,-0.104425,0.008943, 
0,-0.054075,-0.061352,-0.071406,0.055683, 
0,-0.172822,-0.234588,-0.175557,-0.115548, 
0,-0.312962,-0.450484,-0.296626,-0.329888, 
0,-0.403002,-0.603525,-0.377517,-0.481240, 
0,-0.616306,-0.889117,-0.555608,-0.771782, 
0,-0.333577,-0.450469,-0.304322,-0.338513, 
0,-0.279159,-0.380013,-0.258538,-0.261295, 
0,-0.279180,-0.398183,-0.263321,-0.259599, 
0,-0.292245,-0.442466,-0.281914,-0.282356, 
0,-0.329613,-0.519343,-0.319088,-0.338541, 
0,-0.314173,-0.511761,-0.302356,-0.310013, 
0,-0.304281,-0.515366,-0.295879,-0.294131, 
0,-0.300724,-0.523413,-0.294610,-0.285774, 
0,-0.295699,-0.522995,-0.292229,-0.276625, 
0,-0.289219,-0.516696,-0.287675,-0.264598, 
0,-0.281952,-0.509628,-0.281977,-0.252360, 
0,-0.285563,-0.519219,-0.285225,-0.256062, 
0,-0.273551,-0.502498,-0.274244,-0.234835, 
0,-0.261817,-0.486621,-0.263424,-0.214996, 
0,-0.273595,-0.509641,-0.274657,-0.234393, 
0,-0.289210,-0.534418,-0.289244,-0.257274, 
0,-0.306503,-0.562187,-0.305190,-0.283111, 
0,-0.305288,-0.561318,-0.304332,-0.281173, 
0,-0.147064,-0.334349,-0.158664,-0.048861, 
0,-0.240265,-0.501036,-0.260377,-0.225015, 
0,-0.307228,-0.566549,-0.306819,-0.282532, 
0,-0.302026,-0.561241,-0.302146,-0.274508, 
0,-0.367546,-0.660254,-0.362846,-0.374126, 
0,-0.344380,-0.625380,-0.340812,-0.339422, 
0,-0.318629,-0.585594,-0.317942,-0.301835, 
0,-0.320183,-0.588844,-0.318858,-0.305071, 
0,-0.311400,-0.575300,-0.310476,-0.293252, 
0,-0.302740,-0.562593,-0.303605,-0.279657, 
0,-0.300753,-0.559471,-0.302357,-0.277127, 
0,-0.318411,-0.587044,-0.318677,-0.305997, 
0,-0.308924,-0.570858,-0.309084,-0.290318, 
0,-0.308119,-0.570269,-0.308385,-0.288275, 
0,-0.307876,-0.570032,-0.307750,-0.287046, 
0,-0.305923,-0.566581,-0.305950,-0.283445, 
